Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2017-2018,2,26917,Métodos matemáticos para la física,7,8.2,17,20,30,35.3,28,32.9,1,1.2,2,2.4,0,0
2017-2018,2,26918,Física computacional,29,31.2,22,23.7,29,31.2,12,12.9,0,0,1,1.1,0,0
2017-2018,2,26919,Ondas electromagnéticas,8,11,9,12.3,36,49.3,17,23.3,1,1.4,2,2.7,0,0
2017-2018,3,26920,Técnicas físicas II,1,1.8,1,1.8,12,21.8,36,65.5,2,3.6,3,5.5,0,0
2017-2018,3,26921,Física cuántica I,6,9.1,3,4.5,20,30.3,24,36.4,8,12.1,5,7.6,0,0
2017-2018,3,26922,Termodinámica,18,26.9,3,4.5,23,34.3,14,20.9,5,7.5,4,6,0,0
2017-2018,3,26923,Óptica,6,9.4,5,7.8,34,53.1,17,26.6,1,1.6,1,1.6,0,0
2017-2018,3,26924,Física cuántica II,7,10.8,13,20,28,43.1,12,18.5,1,1.5,4,6.2,0,0
2017-2018,3,26925,Física estadística,3,4.8,13,21,29,46.8,13,21,2,3.2,2,3.2,0,0
2017-2018,3,26932,Astronomía y astrofísica,0,0,0,0,17,37,18,39.1,8,17.4,3,6.5,0,0
2017-2018,3,26933,Caos y sistemas dinámicos no lineales,1,2.4,0,0,6,14.3,20,47.6,12,28.6,3,7.1,0,0
2017-2018,3,26934,Física de la atmósfera,0,0,0,0,4,25,8,50,3,18.8,1,6.2,0,0
2017-2018,3,26935,Física de fluidos,0,0,0,0,1,100,0,0,0,0,0,0,0,0
2017-2018,3,26936,Gestión empresarial y proyectos,0,0,0,0,1,5.3,10,52.6,8,42.1,0,0,0,0
2017-2018,3,26937,Gravitación y cosmología,1,3.6,0,0,2,7.1,10,35.7,14,50,1,3.6,0,0
2017-2018,3,26938,Historia de la ciencia,1,4.5,0,0,3,13.6,12,54.5,3,13.6,3,13.6,0,0
2017-2018,3,26939,Iluminación y colorimetría,0,0,0,0,0,0,2,50,2,50,0,0,0,0
2017-2018,3,26940,Láser y aplicaciones,0,0,0,0,6,37.5,7,43.8,0,0,3,18.8,0,0
2017-2018,3,26941,Micro y nano sistemas,1,5.6,0,0,0,0,14,77.8,3,16.7,0,0,0,0
2017-2018,4,26926,Estado sólido I,3,7.7,2,5.1,12,30.8,11,28.2,9,23.1,2,5.1,0,0
2017-2018,4,26927,Técnicas físicas III,1,2.9,0,0,3,8.6,21,60,6,17.1,4,11.4,0,0
2017-2018,4,26928,Electrónica física,4,11.1,0,0,12,33.3,13,36.1,3,8.3,4,11.1,0,0
2017-2018,4,26929,Física nuclear y partículas,3,8.8,1,2.9,14,41.2,8,23.5,5,14.7,3,8.8,0,0
2017-2018,4,26930,Estado sólido II,1,3,1,3,13,39.4,9,27.3,6,18.2,3,9.1,0,0
2017-2018,4,26931,Trabajo fin de Grado,7,18.9,0,0,3,8.1,12,32.4,8,21.6,7,18.9,0,0
2017-2018,4,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,3,30,7,70,0,0,0,0,0,0
2017-2018,4,26945,Dispositivos y sistemas fotónicos,0,0,0,0,0,0,9,81.8,2,18.2,0,0,0,0
2017-2018,4,26946,Dosimetría y radioprotección,1,10,0,0,0,0,6,60,2,20,1,10,0,0
2017-2018,4,26947,Espectroscopia,0,0,0,0,2,22.2,4,44.4,2,22.2,1,11.1,0,0
2017-2018,4,26949,Física biológica,0,0,0,0,3,18.8,8,50,4,25,1,6.2,0,0
2017-2018,4,26950,Física de altas energías,1,6.7,0,0,4,26.7,5,33.3,3,20,2,13.3,0,0
2017-2018,4,26951,Física y tecnología nuclear,0,0,0,0,1,6.2,8,50,5,31.2,2,12.5,0,0
2017-2018,4,26953,Mecánica cuántica,0,0,0,0,3,18.8,8,50,3,18.8,2,12.5,0,0
2017-2018,4,26957,Sistemas digitales,0,0,0,0,2,28.6,3,42.9,1,14.3,1,14.3,0,0
