Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2017-2018,0,81251,Gestión emocional y de estrés laboral y personal,0,0,0,0,0,0,0,0,1,100,0,0,0,0
2017-2018,1,26900,Fundamentos de física I,21,18.8,32,28.6,46,41.1,10,8.9,1,0.9,2,1.8,0,0
2017-2018,1,26901,Química,4,5.1,7,9,28,35.9,34,43.6,3,3.8,2,2.6,0,0
2017-2018,1,26902,Álgebra I,20,17.5,33,28.9,50,43.9,10,8.8,1,0.9,0,0,0,0
2017-2018,1,26903,Análisis matemático,5,6.5,9,11.7,35,45.5,23,29.9,1,1.3,4,5.2,0,0
2017-2018,1,26904,Informática,7,7.5,11,11.8,21,22.6,37,39.8,13,14,4,4.3,0,0
2017-2018,1,26905,Fundamentos de física II,18,17,16,15.1,51,48.1,17,16,1,0.9,3,2.8,0,0
2017-2018,1,26906,Laboratorio de física,4,5.3,0,0,5,6.7,48,64,15,20,3,4,0,0
2017-2018,1,26907,Álgebra II,18,18.9,9,9.5,39,41.1,22,23.2,5,5.3,2,2.1,0,0
2017-2018,1,26908,Cálculo diferencial,19,19.2,18,18.2,42,42.4,17,17.2,0,0,3,3,0,0
2017-2018,1,26909,Biología,5,14.3,10,28.6,3,8.6,13,37.1,3,8.6,1,2.9,0,0
2017-2018,1,26910,Geología,2,4.5,1,2.3,17,38.6,23,52.3,0,0,1,2.3,0,0
2017-2018,2,26911,Técnicas físicas I,5,5.1,31,31.3,40,40.4,22,22.2,0,0,1,1,0,0
2017-2018,2,26912,Mecánica clásica I,28,26.2,17,15.9,42,39.3,13,12.1,2,1.9,5,4.7,0,0
2017-2018,2,26913,Cálculo integral y geometría,10,11.2,6,6.7,44,49.4,21,23.6,6,6.7,2,2.2,0,0
2017-2018,2,26914,Ecuaciones diferenciales,3,3.8,3,3.8,47,59.5,18,22.8,7,8.9,1,1.3,0,0
2017-2018,2,26915,Electromagnetismo,17,15.7,22,20.4,40,37,23,21.3,3,2.8,3,2.8,0,0
2017-2018,2,26916,Mecánica clásica II,14,13.9,15,14.9,41,40.6,26,25.7,3,3,2,2,0,0
