Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2025-2026,4,26941,Micro y nano sistemas,0,0,0,0,0,0,26,89.7,3,10.3,0,0,0,0
2025-2026,4,26942,Microondas: propagación y antenas,0,0,0,0,3,60,2,40,0,0,0,0,0,0
2025-2026,4,26945,Dispositivos y sistemas fotónicos,0,0,0,0,1,7.7,4,30.8,7,53.8,1,7.7,0,0
2025-2026,4,26946,Dosimetría y radioprotección,0,0,0,0,0,0,8,57.1,5,35.7,1,7.1,0,0
2025-2026,4,26947,Espectroscopia,0,0,0,0,2,25,4,50,2,25,0,0,0,0
2025-2026,4,26949,Física biológica,0,0,0,0,3,16.7,5,27.8,9,50,1,5.6,0,0
2025-2026,4,26950,Física de altas energías,1,3.6,0,0,2,7.1,9,32.1,14,50,2,7.1,0,0
2025-2026,4,26951,Física y tecnología nuclear,1,2.7,0,0,6,16.2,22,59.5,7,18.9,1,2.7,0,0
2025-2026,4,26953,Mecánica cuántica,0,0,0,0,3,12.5,13,54.2,7,29.2,1,4.2,0,0
2025-2026,4,26957,Sistemas digitales,0,0,0,0,0,0,1,4.5,18,81.8,3,13.6,0,0
