Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2025-2026,0,81413,Introducción a la Inteligencia Artificial,2,33.3,0,0,0,0,0,0,4,66.7,0,0,0,0
2025-2026,1,26900,Fundamentos de física I,15,13.5,34,30.6,40,36,16,14.4,4,3.6,2,1.8,0,0
2025-2026,1,26901,Química,5,5.4,5,5.4,31,33.7,42,45.7,6,6.5,3,3.3,0,0
2025-2026,1,26902,Álgebra I,3,3.2,2,2.2,17,18.3,40,43,23,24.7,8,8.6,0,0
2025-2026,1,26903,Análisis matemático,5,4.6,18,16.7,64,59.3,20,18.5,0,0,1,0.9,0,0
2025-2026,1,26904,Informática,10,10,21,21,22,22,38,38,5,5,4,4,0,0
2025-2026,1,26905,Fundamentos de física II,15,12.8,27,23.1,45,38.5,24,20.5,3,2.6,3,2.6,0,0
2025-2026,1,26906,Laboratorio de física,3,3.2,0,0,10,10.6,62,66,13,13.8,6,6.4,0,0
2025-2026,1,26907,Álgebra II,40,23.3,48,27.9,67,39,16,9.3,1,0.6,0,0,0,0
2025-2026,1,26908,Cálculo diferencial,13,13.3,14,14.3,54,55.1,16,16.3,0,0,1,1,0,0
2025-2026,1,26909,Biología,1,10,1,10,3,30,4,40,0,0,1,10,0,0
2025-2026,1,26910,Geología,0,0,0,0,3,27.3,7,63.6,0,0,1,9.1,0,0
2025-2026,1,26958,Grafos y combinatoria,12,14.8,8,9.9,45,55.6,14,17.3,0,0,2,2.5,0,0
2025-2026,2,26911,Técnicas físicas I,3,2.9,29,27.6,39,37.1,32,30.5,0,0,2,1.9,0,0
2025-2026,2,26912,Mecánica clásica I,21,20.4,21,20.4,40,38.8,18,17.5,0,0,3,2.9,0,0
2025-2026,2,26913,Cálculo integral y geometría,3,3.2,2,2.1,58,61.1,25,26.3,3,3.2,4,4.2,0,0
2025-2026,2,26914,Ecuaciones diferenciales,3,3.1,17,17.7,43,44.8,28,29.2,2,2.1,3,3.1,0,0
2025-2026,2,26915,Electromagnetismo,19,17.8,34,31.8,39,36.4,12,11.2,0,0,3,2.8,0,0
2025-2026,2,26916,Mecánica clásica II,20,20.6,17,17.5,45,46.4,13,13.4,0,0,2,2.1,0,0
2025-2026,2,26917,Métodos matemáticos para la física,1,1,16,16.7,43,44.8,28,29.2,4,4.2,4,4.2,0,0
2025-2026,2,26918,Física computacional,16,13.6,18,15.3,45,38.1,32,27.1,1,0.8,6,5.1,0,0
2025-2026,2,26919,Ondas electromagnéticas,17,17.7,24,25,26,27.1,27,28.1,0,0,2,2.1,0,0
2025-2026,3,26920,Técnicas físicas II,0,0,0,0,2,3.1,56,87.5,3,4.7,3,4.7,0,0
2025-2026,3,26921,Física cuántica I,6,7.4,8,9.9,58,71.6,7,8.6,0,0,2,2.5,0,0
2025-2026,3,26922,Termodinámica,9,9.9,20,22,50,54.9,8,8.8,2,2.2,2,2.2,0,0
2025-2026,3,26923,Óptica,11,13.3,8,9.6,30,36.1,29,34.9,2,2.4,3,3.6,0,0
2025-2026,3,26924,Física cuántica II,5,6.7,15,20,46,61.3,6,8,0,0,3,4,0,0
2025-2026,3,26925,Física estadística,16,15.8,15,14.9,49,48.5,12,11.9,3,3,6,5.9,0,0
2025-2026,4,26926,Estado sólido I,5,8.3,1,1.7,12,20,25,41.7,15,25,2,3.3,0,0
2025-2026,4,26927,Técnicas físicas III,1,1.7,0,0,0,0,40,66.7,17,28.3,2,3.3,0,0
2025-2026,4,26928,Electrónica física,1,1.6,3,4.9,24,39.3,20,32.8,12,19.7,1,1.6,0,0
2025-2026,4,26929,Física nuclear y partículas,0,0,1,1.7,27,46.6,16,27.6,12,20.7,2,3.4,0,0
2025-2026,4,26930,Estado sólido II,5,8.2,3,4.9,12,19.7,31,50.8,8,13.1,2,3.3,0,0
2025-2026,4,26931,Trabajo fin de Grado,2,4.9,0,0,0,0,7,17.1,23,56.1,9,22,0,0
2025-2026,4,26932,Astronomía y astrofísica,0,0,0,0,1,2,47,92.2,0,0,3,5.9,0,0
2025-2026,4,26933,Caos y sistemas dinámicos no lineales,0,0,0,0,9,18.4,36,73.5,2,4.1,2,4.1,0,0
2025-2026,4,26934,Física de la atmósfera,1,6.2,0,0,2,12.5,4,25,8,50,1,6.2,0,0
2025-2026,4,26935,Física de fluidos,0,0,0,0,0,0,3,42.9,3,42.9,1,14.3,0,0
2025-2026,4,26936,Gestión empresarial y proyectos,0,0,0,0,1,10,7,70,0,0,2,20,0,0
2025-2026,4,26937,Gravitación y cosmología,1,2.2,0,0,0,0,34,73.9,8,17.4,3,6.5,0,0
2025-2026,4,26938,Historia de la ciencia,0,0,0,0,0,0,8,25,22,68.8,2,6.2,0,0
2025-2026,4,26939,Iluminación y colorimetría,0,0,0,0,0,0,12,92.3,1,7.7,0,0,0,0
2025-2026,4,26940,Láser y aplicaciones,0,0,0,0,1,16.7,2,33.3,2,33.3,1,16.7,0,0
