Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2021-2022,0,81413,Introducción a la Inteligencia Artificial ,0,0,0,0,0,0,1,33.3,1,33.3,1,33.3,0,0
2021-2022,1,26900,Fundamentos de física I,15,13.3,18,15.9,53,46.9,23,20.4,1,0.9,3,2.7,0,0
2021-2022,1,26901,Química,4,4.7,5,5.8,14,16.3,52,60.5,7,8.1,4,4.7,0,0
2021-2022,1,26902,Álgebra I,3,3,20,19.8,54,53.5,21,20.8,1,1,2,2,0,0
2021-2022,1,26903,Análisis matemático,4,4.4,15,16.7,32,35.6,22,24.4,11,12.2,6,6.7,0,0
2021-2022,1,26904,Informática,17,16.3,17,16.3,16,15.4,39,37.5,10,9.6,5,4.8,0,0
2021-2022,1,26905,Fundamentos de física II,16,15.7,17,16.7,39,38.2,28,27.5,0,0,2,2,0,0
2021-2022,1,26906,Laboratorio de física,7,8.1,0,0,4,4.7,44,51.2,28,32.6,3,3.5,0,0
2021-2022,1,26907,Álgebra II,27,25,7,6.5,34,31.5,30,27.8,4,3.7,6,5.6,0,0
2021-2022,1,26908,Cálculo diferencial,16,16.3,9,9.2,43,43.9,26,26.5,0,0,4,4.1,0,0
2021-2022,1,26909,Biología,3,25,3,25,4,33.3,2,16.7,0,0,0,0,0,0
2021-2022,1,26910,Geología,2,50,0,0,0,0,1,25,0,0,1,25,0,0
2021-2022,1,26958,Grafos y combinatoria,3,4.1,9,12.2,31,41.9,24,32.4,3,4.1,4,5.4,0,0
2021-2022,2,26911,Técnicas físicas I,2,2,27,27.3,50,50.5,17,17.2,1,1,2,2,0,0
2021-2022,2,26912,Mecánica clásica I,19,20.7,11,12,42,45.7,19,20.7,0,0,1,1.1,0,0
2021-2022,2,26913,Cálculo integral y geometría,7,8.2,4,4.7,23,27.1,33,38.8,13,15.3,5,5.9,0,0
2021-2022,2,26914,Ecuaciones diferenciales,3,3.8,1,1.2,16,20,33,41.2,21,26.2,6,7.5,0,0
2021-2022,2,26915,Electromagnetismo,13,13.7,13,13.7,35,36.8,28,29.5,3,3.2,3,3.2,0,0
2021-2022,2,26916,Mecánica clásica II,10,11.4,6,6.8,49,55.7,20,22.7,0,0,3,3.4,0,0
2021-2022,2,26917,Métodos matemáticos para la física,3,3.7,10,12.3,17,21,34,42,12,14.8,5,6.2,0,0
2021-2022,2,26918,Física computacional,19,17.3,21,19.1,37,33.6,24,21.8,6,5.5,3,2.7,0,0
2021-2022,2,26919,Ondas electromagnéticas,14,14.3,26,26.5,45,45.9,10,10.2,2,2,1,1,0,0
2021-2022,3,26920,Técnicas físicas II,2,2.6,0,0,11,14.1,52,66.7,9,11.5,4,5.1,0,0
2021-2022,3,26921,Física cuántica I,6,7.4,15,18.5,26,32.1,18,22.2,11,13.6,5,6.2,0,0
2021-2022,3,26922,Termodinámica,10,11.2,20,22.5,37,41.6,15,16.9,1,1.1,6,6.7,0,0
2021-2022,3,26923,Óptica,6,7,5,5.8,31,36,37,43,1,1.2,6,7,0,0
2021-2022,3,26924,Física cuántica II,12,13.2,18,19.8,40,44,14,15.4,1,1.1,6,6.6,0,0
2021-2022,3,26925,Física estadística,14,13.2,23,21.7,52,49.1,11,10.4,3,2.8,3,2.8,0,0
2021-2022,3,26932,Astronomía y astrofísica,5,11.9,2,4.8,16,38.1,11,26.2,4,9.5,4,9.5,0,0
2021-2022,3,26933,Caos y sistemas dinámicos no lineales,2,3.2,0,0,1,1.6,39,62.9,17,27.4,3,4.8,0,0
2021-2022,3,26934,Física de la atmósfera,1,7.7,0,0,1,7.7,2,15.4,9,69.2,0,0,0,0
2021-2022,3,26935,Física de fluidos,0,0,0,0,7,41.2,7,41.2,2,11.8,1,5.9,0,0
2021-2022,3,26936,Gestión empresarial y proyectos,0,0,0,0,0,0,0,0,1,100,0,0,0,0
2021-2022,3,26937,Gravitación y cosmología,3,6.7,1,2.2,9,20,24,53.3,5,11.1,3,6.7,0,0
2021-2022,3,26938,Historia de la ciencia,0,0,0,0,3,9.7,22,71,5,16.1,1,3.2,0,0
2021-2022,3,26939,Iluminación y colorimetría,0,0,0,0,1,11.1,7,77.8,1,11.1,0,0,0,0
2021-2022,3,26940,Láser y aplicaciones,0,0,0,0,1,20,2,40,1,20,1,20,0,0
2021-2022,3,26941,Micro y nano sistemas,0,0,0,0,0,0,24,75,8,25,0,0,0,0
2021-2022,3,26942,Microondas: propagación y antenas,1,10,0,0,2,20,4,40,0,0,3,30,0,0
2021-2022,3,26945,Dispositivos y sistemas fotónicos,0,0,0,0,1,4.8,13,61.9,6,28.6,1,4.8,0,0
2021-2022,3,26946,Dosimetría y radioprotección,0,0,0,0,3,37.5,3,37.5,0,0,2,25,0,0
2021-2022,3,26947,Espectroscopia,2,11.8,0,0,5,29.4,8,47.1,1,5.9,1,5.9,0,0
2021-2022,3,26949,Física biológica,0,0,0,0,10,41.7,11,45.8,2,8.3,1,4.2,0,0
2021-2022,3,26950,Física de altas energías,2,8.7,0,0,9,39.1,9,39.1,2,8.7,1,4.3,0,0
2021-2022,3,26951,Física y tecnología nuclear,2,6.2,0,0,0,0,26,81.2,3,9.4,1,3.1,0,0
2021-2022,3,26953,Mecánica cuántica,0,0,1,6.2,6,37.5,7,43.8,1,6.2,1,6.2,0,0
2021-2022,3,26957,Sistemas digitales,1,3.8,0,0,0,0,2,7.7,21,80.8,2,7.7,0,0
2021-2022,4,26926,Estado sólido I,7,11.1,0,0,19,30.2,30,47.6,6,9.5,1,1.6,0,0
2021-2022,4,26927,Técnicas físicas III,1,1.7,0,0,2,3.4,41,70.7,10,17.2,4,6.9,0,0
2021-2022,4,26928,Electrónica física,3,5,1,1.7,21,35,22,36.7,9,15,4,6.7,0,0
2021-2022,4,26929,Física nuclear y partículas,7,11.1,2,3.2,34,54,15,23.8,3,4.8,2,3.2,0,0
2021-2022,4,26930,Estado sólido II,3,4.8,0,0,33,53.2,18,29,7,11.3,1,1.6,0,0
2021-2022,4,26931,Trabajo fin de Grado,6,9.5,0,0,0,0,30,47.6,21,33.3,6,9.5,0,0
