Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2023-2024,0,26934,Física de la atmósfera,3,10,0,0,2,6.7,10,33.3,14,46.7,1,3.3,0,0
2023-2024,0,26939,Iluminación y colorimetría,0,0,0,0,0,0,6,85.7,0,0,1,14.3,0,0
2023-2024,0,81413,Introducción a la Inteligencia Artificial ,2,8.7,0,0,0,0,6,26.1,15,65.2,0,0,0,0
2023-2024,1,26900,Fundamentos de física I,10,9.3,16,15,40,37.4,32,29.9,5,4.7,4,3.7,0,0
2023-2024,1,26901,Química,3,3.3,4,4.4,26,28.6,48,52.7,6,6.6,4,4.4,0,0
2023-2024,1,26902,Álgebra I,3,3,11,11.1,54,54.5,27,27.3,2,2,2,2,0,0
2023-2024,1,26903,Análisis matemático,5,5.2,15,15.5,58,59.8,16,16.5,0,0,3,3.1,0,0
2023-2024,1,26904,Informática,11,9.6,19,16.7,23,20.2,43,37.7,13,11.4,5,4.4,0,0
2023-2024,1,26905,Fundamentos de física II,22,19.8,18,16.2,47,42.3,21,18.9,1,0.9,2,1.8,0,0
2023-2024,1,26906,Laboratorio de física,7,7.8,0,0,8,8.9,65,72.2,7,7.8,3,3.3,0,0
2023-2024,1,26907,Álgebra II,30,23.1,34,26.2,47,36.2,14,10.8,4,3.1,1,0.8,0,0
2023-2024,1,26908,Cálculo diferencial,11,10.4,8,7.5,51,48.1,29,27.4,2,1.9,5,4.7,0,0
2023-2024,1,26909,Biología,3,17.6,3,17.6,6,35.3,5,29.4,0,0,0,0,0,0
2023-2024,1,26910,Geología,0,0,0,0,5,41.7,7,58.3,0,0,0,0,0,0
2023-2024,1,26958,Grafos y combinatoria,7,10.3,9,13.2,39,57.4,9,13.2,1,1.5,3,4.4,0,0
2023-2024,2,26911,Técnicas físicas I,5,4.9,19,18.4,37,35.9,37,35.9,3,2.9,2,1.9,0,0
