Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2023-2024,2,26912,Mecánica clásica I,14,14.9,9,9.6,32,34,32,34,3,3.2,4,4.3,0,0
2023-2024,2,26913,Cálculo integral y geometría,5,6.6,0,0,32,42.1,29,38.2,5,6.6,5,6.6,0,0
2023-2024,2,26914,Ecuaciones diferenciales,2,2.6,11,14.5,35,46.1,23,30.3,2,2.6,3,3.9,0,0
2023-2024,2,26915,Electromagnetismo,11,12,10,10.9,47,51.1,20,21.7,2,2.2,2,2.2,0,0
2023-2024,2,26916,Mecánica clásica II,6,6.7,15,16.9,53,59.6,15,16.9,0,0,0,0,0,0
2023-2024,2,26917,Métodos matemáticos para la física,2,2.4,6,7.1,24,28.6,41,48.8,6,7.1,5,6,0,0
2023-2024,2,26918,Física computacional,13,14.9,9,10.3,14,16.1,45,51.7,4,4.6,2,2.3,0,0
2023-2024,2,26919,Ondas electromagnéticas,14,14.6,24,25,31,32.3,25,26,1,1,1,1,0,0
2023-2024,3,26920,Técnicas físicas II,1,1.3,0,0,2,2.7,59,78.7,9,12,4,5.3,0,0
2023-2024,3,26921,Física cuántica I,10,12.3,16,19.8,40,49.4,14,17.3,0,0,1,1.2,0,0
2023-2024,3,26922,Termodinámica,18,16.8,26,24.3,49,45.8,11,10.3,1,0.9,2,1.9,0,0
2023-2024,3,26923,Óptica,2,2.5,10,12.3,36,44.4,31,38.3,1,1.2,1,1.2,0,0
2023-2024,3,26924,Física cuántica II,10,9.3,8,7.5,53,49.5,27,25.2,4,3.7,5,4.7,0,0
2023-2024,3,26925,Física estadística,12,10.1,27,22.7,56,47.1,18,15.1,5,4.2,1,0.8,0,0
2023-2024,4,26926,Estado sólido I,3,3.9,2,2.6,19,25,34,44.7,15,19.7,3,3.9,0,0
2023-2024,4,26927,Técnicas físicas III,3,4.2,0,0,4,5.6,42,59.2,19,26.8,3,4.2,0,0
2023-2024,4,26928,Electrónica física,2,2.5,1,1.2,53,66.2,12,15,6,7.5,6,7.5,0,0
2023-2024,4,26929,Física nuclear y partículas,3,3.7,4,4.9,33,40.2,33,40.2,6,7.3,3,3.7,0,0
2023-2024,4,26930,Estado sólido II,3,3.6,1,1.2,23,27.7,40,48.2,13,15.7,3,3.6,0,0
2023-2024,4,26931,Trabajo fin de Grado,8,9.4,0,0,2,2.4,24,28.2,34,40,17,20,0,0
2023-2024,4,26932,Astronomía y astrofísica,5,11.4,0,0,6,13.6,26,59.1,4,9.1,3,6.8,0,0
2023-2024,4,26933,Caos y sistemas dinámicos no lineales,1,1.9,0,0,1,1.9,27,50,21,38.9,4,7.4,0,0
2023-2024,4,26935,Física de fluidos,1,2.8,0,0,7,19.4,22,61.1,5,13.9,1,2.8,0,0
2023-2024,4,26936,Gestión empresarial y proyectos,1,6.2,0,0,2,12.5,8,50,4,25,1,6.2,0,0
2023-2024,4,26937,Gravitación y cosmología,4,6.7,0,0,23,38.3,30,50,0,0,3,5,0,0
2023-2024,4,26938,Historia de la ciencia,2,5.9,0,0,1,2.9,12,35.3,17,50,2,5.9,0,0
2023-2024,4,26940,Láser y aplicaciones,2,10.5,0,0,1,5.3,10,52.6,4,21.1,2,10.5,0,0
2023-2024,4,26941,Micro y nano sistemas,0,0,0,0,2,11.1,4,22.2,11,61.1,1,5.6,0,0
2023-2024,4,26942,Microondas: propagación y antenas,0,0,0,0,3,33.3,3,33.3,3,33.3,0,0,0,0
2023-2024,4,26945,Dispositivos y sistemas fotónicos,1,7.7,0,0,1,7.7,3,23.1,7,53.8,1,7.7,0,0
2023-2024,4,26946,Dosimetría y radioprotección,1,10,0,0,2,20,3,30,3,30,1,10,0,0
2023-2024,4,26947,Espectroscopia,0,0,0,0,5,27.8,11,61.1,1,5.6,1,5.6,0,0
2023-2024,4,26949,Física biológica,2,10,0,0,2,10,9,45,5,25,2,10,0,0
2023-2024,4,26950,Física de altas energías,3,9.4,0,0,4,12.5,8,25,14,43.8,3,9.4,0,0
2023-2024,4,26951,Física y tecnología nuclear,2,4.4,0,0,4,8.9,32,71.1,5,11.1,2,4.4,0,0
2023-2024,4,26953,Mecánica cuántica,0,0,0,0,8,36.4,7,31.8,5,22.7,2,9.1,0,0
2023-2024,4,26957,Sistemas digitales,2,6.5,0,0,0,0,4,12.9,22,71,3,9.7,0,0
