Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2018-2019,0,81292,Día de la Materia Oscura,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019,0,81294,El zoo de las partículas: De la relatividad a la teoría de campos clásica y cuántica,0,0,0,0,0,0,0,0,1,100,0,0,0,0
2018-2019,0,81295,Iniciación a la investigación en Física de Astropartículas y de Altas Energías,0,0,2,16.7,0,0,2,16.7,8,66.7,0,0,0,0
2018-2019,0,81298,Métodos geométricos en Física,0,0,0,0,0,0,0,0,6,100,0,0,0,0
2018-2019,1,26900,Fundamentos de física I,12,11.1,35,32.4,49,45.4,11,10.2,0,0,1,0.9,0,0
2018-2019,1,26901,Química,2,2.5,3,3.8,32,40.5,38,48.1,1,1.3,3,3.8,0,0
2018-2019,1,26902,Álgebra I,36,33.6,34,31.8,25,23.4,10,9.3,2,1.9,0,0,0,0
2018-2019,1,26903,Análisis matemático,3,3.8,6,7.7,42,53.8,23,29.5,1,1.3,3,3.8,0,0
2018-2019,1,26904,Informática,6,7.2,14,16.9,21,25.3,28,33.7,10,12,4,4.8,0,0
2018-2019,1,26905,Fundamentos de física II,18,19.8,16,17.6,46,50.5,8,8.8,1,1.1,2,2.2,0,0
2018-2019,1,26906,Laboratorio de física,2,2.6,0,0,10,13.2,40,52.6,22,28.9,2,2.6,0,0
2018-2019,1,26907,Álgebra II,18,20.5,12,13.6,31,35.2,21,23.9,2,2.3,4,4.5,0,0
2018-2019,1,26908,Cálculo diferencial,13,12.9,8,7.9,60,59.4,17,16.8,0,0,3,3,0,0
2018-2019,1,26909,Biología,5,8.6,7,12.1,20,34.5,22,37.9,1,1.7,3,5.2,0,0
2018-2019,1,26910,Geología,0,0,0,0,7,28,18,72,0,0,0,0,0,0
2018-2019,2,26911,Técnicas físicas I,3,3.5,10,11.6,32,37.2,38,44.2,0,0,3,3.5,0,0
2018-2019,2,26912,Mecánica clásica I,11,11.3,17,17.5,57,58.8,9,9.3,0,0,3,3.1,0,0
2018-2019,2,26913,Cálculo integral y geometría,8,10.8,4,5.4,22,29.7,31,41.9,6,8.1,3,4.1,0,0
2018-2019,2,26914,Ecuaciones diferenciales,2,3.4,0,0,28,48.3,20,34.5,5,8.6,3,5.2,0,0
2018-2019,2,26915,Electromagnetismo,13,13.3,15,15.3,41,41.8,23,23.5,2,2,4,4.1,0,0
2018-2019,2,26916,Mecánica clásica II,10,11.1,12,13.3,24,26.7,36,40,5,5.6,3,3.3,0,0
2018-2019,2,26917,Métodos matemáticos para la física,10,12.7,4,5.1,26,32.9,30,38,5,6.3,4,5.1,0,0
2018-2019,2,26918,Física computacional,22,20.2,12,11,44,40.4,27,24.8,0,0,4,3.7,0,0
2018-2019,2,26919,Ondas electromagnéticas,13,16.5,9,11.4,35,44.3,21,26.6,0,0,1,1.3,0,0
2018-2019,3,26920,Técnicas físicas II,1,1.5,0,0,4,6.1,57,86.4,0,0,4,6.1,0,0
2018-2019,3,26921,Física cuántica I,8,10.1,6,7.6,33,41.8,22,27.8,3,3.8,7,8.9,0,0
2018-2019,3,26922,Termodinámica,7,8.8,8,10,40,50,18,22.5,1,1.2,6,7.5,0,0
2018-2019,3,26923,Óptica,8,10.8,4,5.4,41,55.4,17,23,3,4.1,1,1.4,0,0
2018-2019,3,26924,Física cuántica II,19,22.4,7,8.2,38,44.7,12,14.1,5,5.9,4,4.7,0,0
2018-2019,3,26925,Física estadística,11,14.1,9,11.5,30,38.5,15,19.2,9,11.5,4,5.1,0,0
2018-2019,3,26932,Astronomía y astrofísica,1,3,0,0,7,21.2,19,57.6,4,12.1,2,6.1,0,0
2018-2019,3,26933,Caos y sistemas dinámicos no lineales,0,0,0,0,18,40,22,48.9,4,8.9,1,2.2,0,0
2018-2019,3,26935,Física de fluidos,2,5.9,0,0,13,38.2,14,41.2,1,2.9,4,11.8,0,0
2018-2019,3,26937,Gravitación y cosmología,0,0,0,0,38,70.4,14,25.9,0,0,2,3.7,0,0
2018-2019,3,26938,Historia de la ciencia,0,0,0,0,2,11.8,11,64.7,3,17.6,1,5.9,0,0
2018-2019,3,26939,Iluminación y colorimetría,0,0,0,0,0,0,1,25,3,75,0,0,0,0
2018-2019,3,26940,Láser y aplicaciones,0,0,0,0,3,37.5,2,25,1,12.5,2,25,0,0
2018-2019,3,26941,Micro y nano sistemas,1,5.9,0,0,1,5.9,10,58.8,5,29.4,0,0,0,0
2018-2019,3,26942,Microondas: propagación y antenas,2,14.3,0,0,2,14.3,4,28.6,5,35.7,1,7.1,0,0
2018-2019,4,26926,Estado sólido I,4,8.3,1,2.1,12,25,19,39.6,9,18.8,3,6.2,0,0
2018-2019,4,26927,Técnicas físicas III,0,0,0,0,9,17,32,60.4,9,17,3,5.7,0,0
2018-2019,4,26928,Electrónica física,2,3.7,5,9.3,21,38.9,15,27.8,7,13,4,7.4,0,0
2018-2019,4,26929,Física nuclear y partículas,2,3.6,4,7.1,25,44.6,14,25,8,14.3,3,5.4,0,0
2018-2019,4,26930,Estado sólido II,2,3.9,2,3.9,16,31.4,22,43.1,6,11.8,3,5.9,0,0
2018-2019,4,26931,Trabajo fin de Grado,8,15.7,0,0,2,3.9,16,31.4,15,29.4,10,19.6,0,0
2018-2019,4,26945,Dispositivos y sistemas fotónicos,1,5.9,0,0,6,35.3,8,47.1,2,11.8,0,0,0,0
2018-2019,4,26946,Dosimetría y radioprotección,0,0,0,0,6,33.3,10,55.6,1,5.6,1,5.6,0,0
2018-2019,4,26947,Espectroscopia,2,40,0,0,0,0,1,20,1,20,1,20,0,0
2018-2019,4,26949,Física biológica,1,3.6,0,0,8,28.6,9,32.1,8,28.6,2,7.1,0,0
2018-2019,4,26950,Física de altas energías,0,0,0,0,12,46.2,9,34.6,2,7.7,3,11.5,0,0
2018-2019,4,26951,Física y tecnología nuclear,0,0,1,3.3,1,3.3,21,70,5,16.7,2,6.7,0,0
2018-2019,4,26952,Geofísica,0,0,0,0,4,36.4,2,18.2,4,36.4,1,9.1,0,0
2018-2019,4,26953,Mecánica cuántica,0,0,0,0,3,13,9,39.1,9,39.1,2,8.7,0,0
