Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2024-2025,3,26922,Termodinámica,4,3.6,28,25.5,68,61.8,7,6.4,2,1.8,1,0.9,0,0
2024-2025,3,26923,Óptica,12,14.3,3,3.6,26,31,38,45.2,4,4.8,1,1.2,0,0
2024-2025,3,26924,Física cuántica II,8,9.3,8,9.3,41,47.7,16,18.6,7,8.1,6,7,0,0
2024-2025,3,26925,Física estadística,16,16.8,18,18.9,48,50.5,10,10.5,2,2.1,1,1.1,0,0
2024-2025,4,26926,Estado sólido I,2,3,0,0,12,17.9,29,43.3,22,32.8,2,3,0,0
2024-2025,4,26927,Técnicas físicas III,0,0,0,0,1,1.4,42,58.3,25,34.7,4,5.6,0,0
2024-2025,4,26928,Electrónica física,0,0,1,1.5,31,47,19,28.8,12,18.2,3,4.5,0,0
2024-2025,4,26929,Física nuclear y partículas,0,0,1,1.4,29,41.4,26,37.1,10,14.3,4,5.7,0,0
2024-2025,4,26930,Estado sólido II,3,4.4,1,1.5,16,23.5,28,41.2,17,25,3,4.4,0,0
2024-2025,4,26931,Trabajo fin de Grado,2,3.7,0,0,0,0,16,29.6,28,51.9,8,14.8,0,0
2024-2025,4,26932,Astronomía y astrofísica,3,5,2,3.3,10,16.7,25,41.7,17,28.3,3,5,0,0
2024-2025,4,26933,Caos y sistemas dinámicos no lineales,1,2,0,0,9,18,32,64,6,12,2,4,0,0
2024-2025,4,26935,Física de fluidos,0,0,0,0,3,25,7,58.3,1,8.3,1,8.3,0,0
2024-2025,4,26936,Gestión empresarial y proyectos,0,0,0,0,4,36.4,7,63.6,0,0,0,0,0,0
2024-2025,4,26937,Gravitación y cosmología,4,8,0,0,22,44,22,44,0,0,2,4,0,0
2024-2025,4,26938,Historia de la ciencia,0,0,0,0,1,3.7,6,22.2,18,66.7,2,7.4,0,0
2024-2025,4,26940,Láser y aplicaciones,1,6.2,0,0,2,12.5,11,68.8,1,6.2,1,6.2,0,0
2024-2025,4,26941,Micro y nano sistemas,0,0,0,0,1,4.8,14,66.7,6,28.6,0,0,0,0
2024-2025,4,26942,Microondas: propagación y antenas,0,0,0,0,1,14.3,6,85.7,0,0,0,0,0,0
2024-2025,4,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,8,30.8,11,42.3,4,15.4,3,11.5,0,0
2024-2025,4,26945,Dispositivos y sistemas fotónicos,0,0,0,0,0,0,9,52.9,5,29.4,3,17.6,0,0
2024-2025,4,26946,Dosimetría y radioprotección,0,0,0,0,1,10,5,50,3,30,1,10,0,0
2024-2025,4,26947,Espectroscopia,0,0,0,0,3,21.4,6,42.9,4,28.6,1,7.1,0,0
2024-2025,4,26949,Física biológica,2,11.8,0,0,1,5.9,8,47.1,3,17.6,3,17.6,0,0
2024-2025,4,26950,Física de altas energías,1,4.5,0,0,1,4.5,10,45.5,7,31.8,3,13.6,0,0
2024-2025,4,26951,Física y tecnología nuclear,0,0,0,0,2,5.4,23,62.2,9,24.3,3,8.1,0,0
2024-2025,4,26952,Geofísica,0,0,0,0,4,23.5,13,76.5,0,0,0,0,0,0
2024-2025,4,26953,Mecánica cuántica,0,0,0,0,6,16.7,15,41.7,12,33.3,3,8.3,0,0
2024-2025,4,26957,Sistemas digitales,0,0,0,0,1,5.3,5,26.3,9,47.4,4,21.1,0,0
