Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2024-2025,0,81413,Introducción a la Inteligencia Artificial ,25,80.6,0,0,0,0,2,6.5,4,12.9,0,0,0,0
2024-2025,0,81482,"Enfoque multidisciplinar del hecho religioso (Sociología, Antropología, Psicología) ",1,100,0,0,0,0,0,0,0,0,0,0,0,0
2024-2025,0,81493,Neurociencia para entender mejor el mundo ,0,0,0,0,0,0,1,100,0,0,0,0,0,0
2024-2025,0,81511,Orquesta Sinfónica Universitaria de Zaragoza. 24-25,0,0,0,0,0,0,0,0,1,100,0,0,0,0
2024-2025,1,26900,Fundamentos de física I,12,12.1,19,19.2,39,39.4,23,23.2,3,3,3,3,0,0
2024-2025,1,26901,Química,2,2.3,2,2.3,26,30.2,44,51.2,8,9.3,4,4.7,0,0
2024-2025,1,26902,Álgebra I,7,7,4,4,43,43,32,32,9,9,5,5,0,0
2024-2025,1,26903,Análisis matemático,4,4.2,21,22.1,45,47.4,18,18.9,2,2.1,5,5.3,0,0
2024-2025,1,26904,Informática,4,3.7,13,12,21,19.4,51,47.2,14,13,5,4.6,0,0
2024-2025,1,26905,Fundamentos de física II,8,7.3,26,23.6,46,41.8,24,21.8,1,0.9,5,4.5,0,0
2024-2025,1,26906,Laboratorio de física,1,1.2,0,0,8,9.4,46,54.1,26,30.6,4,4.7,0,0
2024-2025,1,26907,Álgebra II,32,23,53,38.1,42,30.2,10,7.2,1,0.7,1,0.7,0,0
2024-2025,1,26908,Cálculo diferencial,6,6.2,1,1,54,56.2,31,32.3,3,3.1,1,1,0,0
2024-2025,1,26909,Biología,0,0,2,22.2,4,44.4,2,22.2,0,0,1,11.1,0,0
2024-2025,1,26910,Geología,0,0,0,0,0,0,4,80,0,0,1,20,0,0
2024-2025,1,26958,Grafos y combinatoria,6,7.3,3,3.7,50,61,20,24.4,0,0,3,3.7,0,0
2024-2025,2,26911,Técnicas físicas I,8,8.5,12,12.8,44,46.8,30,31.9,0,0,0,0,0,0
2024-2025,2,26912,Mecánica clásica I,14,15.2,7,7.6,41,44.6,27,29.3,1,1.1,2,2.2,0,0
2024-2025,2,26913,Cálculo integral y geometría,3,3.5,7,8.2,51,60,20,23.5,0,0,4,4.7,0,0
2024-2025,2,26914,Ecuaciones diferenciales,7,8.5,9,11,28,34.1,25,30.5,11,13.4,2,2.4,0,0
2024-2025,2,26915,Electromagnetismo,10,10.9,15,16.3,31,33.7,32,34.8,2,2.2,2,2.2,0,0
2024-2025,2,26916,Mecánica clásica II,5,5.3,11,11.7,48,51.1,24,25.5,1,1.1,5,5.3,0,0
2024-2025,2,26917,Métodos matemáticos para la física,5,6.1,4,4.9,34,41.5,34,41.5,2,2.4,3,3.7,0,0
2024-2025,2,26918,Física computacional,10,9.6,29,27.9,39,37.5,23,22.1,0,0,3,2.9,0,0
2024-2025,2,26919,Ondas electromagnéticas,16,15.2,15,14.3,36,34.3,35,33.3,0,0,3,2.9,0,0
2024-2025,3,26920,Técnicas físicas II,2,2.9,0,0,3,4.4,53,77.9,8,11.8,2,2.9,0,0
2024-2025,3,26921,Física cuántica I,6,6.5,12,12.9,64,68.8,10,10.8,0,0,1,1.1,0,0
