Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2022-2023,4,26940,Láser y aplicaciones,1,12.5,1,12.5,0,0,3,37.5,3,37.5,0,0,0,0
2022-2023,4,26941,Micro y nano sistemas,2,10,0,0,1,5,6,30,10,50,1,5,0,0
2022-2023,4,26942,Microondas: propagación y antenas,0,0,0,0,2,25,5,62.5,1,12.5,0,0,0,0
2022-2023,4,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,1,9.1,2,18.2,7,63.6,1,9.1,0,0
2022-2023,4,26945,Dispositivos y sistemas fotónicos,0,0,0,0,2,18.2,4,36.4,3,27.3,2,18.2,0,0
2022-2023,4,26946,Dosimetría y radioprotección,0,0,0,0,0,0,5,50,4,40,1,10,0,0
2022-2023,4,26947,Espectroscopia,0,0,1,9.1,6,54.5,3,27.3,1,9.1,0,0,0,0
2022-2023,4,26949,Física biológica,4,10.3,0,0,10,25.6,18,46.2,5,12.8,2,5.1,0,0
2022-2023,4,26950,Física de altas energías,4,12.1,1,3,2,6.1,8,24.2,17,51.5,1,3,0,0
2022-2023,4,26951,Física y tecnología nuclear,3,6.1,1,2,5,10.2,33,67.3,5,10.2,2,4.1,0,0
2022-2023,4,26952,Geofísica,0,0,0,0,3,15.8,11,57.9,4,21.1,1,5.3,0,0
2022-2023,4,26953,Mecánica cuántica,1,3.8,0,0,8,30.8,11,42.3,4,15.4,2,7.7,0,0
2022-2023,4,26957,Sistemas digitales,0,0,0,0,1,4,7,28,14,56,3,12,0,0
