Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2022-2023,0,81413,Introducción a la Inteligencia Artificial ,0,0,0,0,0,0,0,0,0,0,2,100,0,0
2022-2023,1,26900,Fundamentos de física I,17,15.9,16,15,41,38.3,24,22.4,5,4.7,4,3.7,0,0
2022-2023,1,26901,Química,0,0,8,9,30,33.7,43,48.3,5,5.6,3,3.4,0,0
2022-2023,1,26902,Álgebra I,4,4,14,14.1,47,47.5,27,27.3,5,5.1,2,2,0,0
2022-2023,1,26903,Análisis matemático,3,3.2,13,13.7,49,51.6,20,21.1,8,8.4,2,2.1,0,0
2022-2023,1,26904,Informática,20,18.3,14,12.8,27,24.8,34,31.2,7,6.4,7,6.4,0,0
2022-2023,1,26905,Fundamentos de física II,20,18.2,23,20.9,49,44.5,16,14.5,0,0,2,1.8,0,0
2022-2023,1,26906,Laboratorio de física,1,1.1,0,0,6,6.9,50,57.5,26,29.9,4,4.6,0,0
2022-2023,1,26907,Álgebra II,26,23.2,26,23.2,44,39.3,14,12.5,1,0.9,1,0.9,0,0
2022-2023,1,26908,Cálculo diferencial,9,8.9,18,17.8,39,38.6,20,19.8,9,8.9,6,5.9,0,0
2022-2023,1,26909,Biología,1,5.6,1,5.6,6,33.3,8,44.4,1,5.6,1,5.6,0,0
2022-2023,1,26910,Geología,2,25,0,0,1,12.5,4,50,0,0,1,12.5,0,0
2022-2023,1,26958,Grafos y combinatoria,1,1.4,6,8.2,48,65.8,16,21.9,0,0,2,2.7,0,0
2022-2023,2,26911,Técnicas físicas I,8,8.2,24,24.7,26,26.8,36,37.1,1,1,2,2.1,0,0
2022-2023,2,26912,Mecánica clásica I,15,15.3,10,10.2,35,35.7,29,29.6,5,5.1,4,4.1,0,0
2022-2023,2,26913,Cálculo integral y geometría,6,7.1,3,3.5,38,44.7,26,30.6,6,7.1,6,7.1,0,0
2022-2023,2,26914,Ecuaciones diferenciales,5,6.4,2,2.6,26,33.3,27,34.6,14,17.9,4,5.1,0,0
2022-2023,2,26915,Electromagnetismo,15,16,12,12.8,37,39.4,22,23.4,3,3.2,5,5.3,0,0
2022-2023,2,26916,Mecánica clásica II,9,10.8,14,16.9,33,39.8,22,26.5,2,2.4,3,3.6,0,0
2022-2023,2,26917,Métodos matemáticos para la física,6,7.1,7,8.3,13,15.5,37,44,18,21.4,3,3.6,0,0
2022-2023,2,26918,Física computacional,12,11.2,14,13.1,33,30.8,38,35.5,4,3.7,6,5.6,0,0
2022-2023,2,26919,Ondas electromagnéticas,15,14.6,15,14.6,40,38.8,23,22.3,6,5.8,4,3.9,0,0
2022-2023,3,26920,Técnicas físicas II,1,1.4,1,1.4,6,8.7,49,71,10,14.5,2,2.9,0,0
2022-2023,3,26921,Física cuántica I,6,6.2,7,7.3,58,60.4,17,17.7,4,4.2,4,4.2,0,0
2022-2023,3,26922,Termodinámica,8,8.2,26,26.8,48,49.5,12,12.4,3,3.1,0,0,0,0
2022-2023,3,26923,Óptica,9,10.6,9,10.6,35,41.2,28,32.9,2,2.4,2,2.4,0,0
2022-2023,3,26924,Física cuántica II,13,12.6,25,24.3,40,38.8,19,18.4,1,1,5,4.9,0,0
2022-2023,3,26925,Física estadística,18,17.3,26,25,45,43.3,10,9.6,2,1.9,3,2.9,0,0
2022-2023,4,26926,Estado sólido I,3,3.5,1,1.2,31,36.5,23,27.1,24,28.2,3,3.5,0,0
2022-2023,4,26927,Técnicas físicas III,2,2.6,0,0,4,5.1,51,65.4,18,23.1,3,3.8,0,0
2022-2023,4,26928,Electrónica física,2,2.7,2,2.7,40,53.3,21,28,8,10.7,2,2.7,0,0
2022-2023,4,26929,Física nuclear y partículas,3,3.8,3,3.8,40,50,22,27.5,8,10,4,5,0,0
2022-2023,4,26930,Estado sólido II,4,5.3,3,3.9,27,35.5,29,38.2,8,10.5,5,6.6,0,0
2022-2023,4,26931,Trabajo fin de Grado,14,19.7,0,0,0,0,18,25.4,19,26.8,20,28.2,0,0
2022-2023,4,26932,Astronomía y astrofísica,2,5.6,0,0,9,25,16,44.4,7,19.4,2,5.6,0,0
2022-2023,4,26933,Caos y sistemas dinámicos no lineales,0,0,0,0,2,3.1,43,66.2,16,24.6,4,6.2,0,0
2022-2023,4,26935,Física de fluidos,1,3.6,1,3.6,2,7.1,18,64.3,4,14.3,2,7.1,0,0
2022-2023,4,26936,Gestión empresarial y proyectos,1,7.1,0,0,2,14.3,7,50,4,28.6,0,0,0,0
2022-2023,4,26937,Gravitación y cosmología,5,7.9,1,1.6,1,1.6,22,34.9,32,50.8,2,3.2,0,0
2022-2023,4,26938,Historia de la ciencia,0,0,0,0,1,2.7,10,27,24,64.9,2,5.4,0,0
