Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2016-2017,1,26900,Fundamentos de física I,16,13,40,32.5,47,38.2,19,15.4,0,0,1,0.8,0,0
2016-2017,1,26901,Química,5,5.7,9,10.2,40,45.5,30,34.1,2,2.3,2,2.3,0,0
2016-2017,1,26902,Álgebra I,14,10,44,31.4,61,43.6,17,12.1,4,2.9,0,0,0,0
2016-2017,1,26903,Análisis matemático,1,1.1,10,10.6,45,47.9,30,31.9,3,3.2,5,5.3,0,0
2016-2017,1,26904,Informática,7,7.1,23,23.2,27,27.3,27,27.3,10,10.1,5,5.1,0,0
2016-2017,1,26905,Fundamentos de física II,11,9.4,38,32.5,42,35.9,20,17.1,2,1.7,4,3.4,0,0
2016-2017,1,26906,Laboratorio de física,1,1.2,0,0,7,8.8,44,55,21,26.2,7,8.8,0,0
2016-2017,1,26907,Álgebra II,14,12.6,18,16.2,35,31.5,33,29.7,9,8.1,2,1.8,0,0
2016-2017,1,26908,Cálculo diferencial,24,21.4,15,13.4,57,50.9,15,13.4,0,0,1,0.9,0,0
2016-2017,1,26909,Biología,3,4.8,7,11.3,37,59.7,15,24.2,0,0,0,0,0,0
2016-2017,1,26910,Geología,0,0,1,4,13,52,11,44,0,0,0,0,0,0
2016-2017,2,26911,Técnicas físicas I,10,12,22,26.5,20,24.1,26,31.3,3,3.6,2,2.4,0,0
2016-2017,2,26912,Mecánica clásica I,15,17.9,12,14.3,40,47.6,11,13.1,3,3.6,3,3.6,0,0
2016-2017,2,26913,Cálculo integral y geometría,17,22.1,8,10.4,25,32.5,17,22.1,8,10.4,2,2.6,0,0
2016-2017,2,26914,Ecuaciones diferenciales,2,2.8,2,2.8,44,61.1,20,27.8,4,5.6,0,0,0,0
2016-2017,2,26915,Electromagnetismo,24,28.9,18,21.7,21,25.3,17,20.5,0,0,3,3.6,0,0
