Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2016-2017,2,26916,Mecánica clásica II,12,15,12,15,37,46.2,13,16.2,2,2.5,4,5,0,0
2016-2017,2,26917,Métodos matemáticos para la física,16,20.3,2,2.5,31,39.2,20,25.3,7,8.9,3,3.8,0,0
2016-2017,2,26918,Física computacional,16,20,14,17.5,33,41.2,11,13.8,1,1.2,5,6.2,0,0
2016-2017,2,26919,Ondas electromagnéticas,7,9.5,2,2.7,36,48.6,19,25.7,7,9.5,3,4.1,0,0
2016-2017,3,26920,Técnicas físicas II,0,0,0,0,1,2.7,32,86.5,3,8.1,1,2.7,0,0
2016-2017,3,26921,Física cuántica I,2,6.2,3,9.4,6,18.8,15,46.9,3,9.4,3,9.4,0,0
2016-2017,3,26922,Termodinámica,1,2.4,8,19.5,20,48.8,10,24.4,1,2.4,1,2.4,0,0
2016-2017,3,26923,Óptica,3,7.7,3,7.7,18,46.2,13,33.3,0,0,2,5.1,0,0
2016-2017,3,26924,Física cuántica II,5,15.2,4,12.1,8,24.2,12,36.4,3,9.1,1,3,0,0
2016-2017,3,26925,Física estadística,4,8.5,6,12.8,24,51.1,10,21.3,1,2.1,2,4.3,0,0
2016-2017,3,26932,Astronomía y astrofísica,2,8.3,0,0,2,8.3,11,45.8,7,29.2,2,8.3,0,0
2016-2017,3,26933,Caos y sistemas dinámicos no lineales,0,0,0,0,4,12.5,22,68.8,5,15.6,1,3.1,0,0
2016-2017,3,26935,Física de fluidos,1,4,0,0,2,8,16,64,5,20,1,4,0,0
2016-2017,3,26937,Gravitación y cosmología,0,0,0,0,0,0,10,27.8,22,61.1,4,11.1,0,0
2016-2017,3,26938,Historia de la ciencia,1,7.1,0,0,2,14.3,5,35.7,5,35.7,1,7.1,0,0
2016-2017,3,26939,Iluminación y colorimetría,0,0,0,0,0,0,2,40,3,60,0,0,0,0
2016-2017,3,26940,Láser y aplicaciones,4,33.3,0,0,1,8.3,6,50,1,8.3,0,0,0,0
2016-2017,3,26941,Micro y nano sistemas,1,7.1,0,0,2,14.3,4,28.6,7,50,0,0,0,0
2016-2017,3,26942,Microondas: propagación y antenas,2,33.3,0,0,0,0,1,16.7,2,33.3,1,16.7,0,0
2016-2017,4,26926,Estado sólido I,5,10.9,0,0,9,19.6,26,56.5,4,8.7,2,4.3,0,0
2016-2017,4,26927,Técnicas físicas III,2,5.7,0,0,2,5.7,22,62.9,6,17.1,3,8.6,0,0
2016-2017,4,26928,Electrónica física,5,10.9,1,2.2,21,45.7,10,21.7,7,15.2,2,4.3,0,0
2016-2017,4,26929,Física nuclear y partículas,5,10,2,4,26,52,10,20,5,10,2,4,0,0
2016-2017,4,26930,Estado sólido II,4,8.7,0,0,14,30.4,19,41.3,6,13,3,6.5,0,0
2016-2017,4,26931,Trabajo fin de Grado,7,13.5,0,0,3,5.8,23,44.2,12,23.1,7,13.5,0,0
2016-2017,4,26945,Dispositivos y sistemas fotónicos,0,0,0,0,1,14.3,3,42.9,2,28.6,1,14.3,0,0
2016-2017,4,26946,Dosimetría y radioprotección,1,9.1,0,0,2,18.2,7,63.6,1,9.1,0,0,0,0
2016-2017,4,26947,Espectroscopia,1,16.7,0,0,1,16.7,3,50,0,0,1,16.7,0,0
2016-2017,4,26949,Física biológica,1,7.7,0,0,0,0,4,30.8,8,61.5,0,0,0,0
2016-2017,4,26950,Física de altas energías,2,15.4,1,7.7,3,23.1,3,23.1,2,15.4,2,15.4,0,0
2016-2017,4,26951,Física y tecnología nuclear,0,0,1,4.2,2,8.3,13,54.2,4,16.7,4,16.7,0,0
2016-2017,4,26952,Geofísica,0,0,0,0,5,62.5,3,37.5,0,0,0,0,0,0
2016-2017,4,26953,Mecánica cuántica,2,14.3,0,0,0,0,5,35.7,5,35.7,2,14.3,0,0
2016-2017,4,26957,Sistemas digitales,0,0,0,0,2,40,1,20,0,0,2,40,0,0
