Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2013-2014,3,26922,Termodinámica,8,15.4,3,5.8,19,36.5,16,30.8,4,7.7,2,3.8,0,0
2013-2014,3,26923,Óptica,13,27.7,3,6.4,13,27.7,14,29.8,1,2.1,3,6.4,0,0
2013-2014,3,26924,Física cuántica II,15,32.6,4,8.7,13,28.3,9,19.6,1,2.2,4,8.7,0,0
2013-2014,3,26925,Física estadística,10,18.9,4,7.5,22,41.5,10,18.9,5,9.4,2,3.8,0,0
2013-2014,4,26926,Estado sólido I,2,7.7,0,0,12,46.2,7,26.9,3,11.5,2,7.7,0,0
2013-2014,4,26927,Técnicas físicas III,0,0,0,0,2,6.9,19,65.5,6,20.7,2,6.9,0,0
2013-2014,4,26928,Electrónica física,3,12,0,0,1,4,13,52,5,20,3,12,0,0
2013-2014,4,26929,Física nuclear y partículas,4,15.4,0,0,7,26.9,12,46.2,2,7.7,1,3.8,0,0
2013-2014,4,26930,Estado sólido II,1,4.2,1,4.2,1,4.2,10,41.7,8,33.3,3,12.5,0,0
2013-2014,4,26931,Trabajo fin de Grado,3,13,0,0,1,4.3,5,21.7,7,30.4,7,30.4,0,0
