Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2013-2014,0,26932,Astronomía y astrofísica,0,0,0,0,16,53.3,8,26.7,4,13.3,2,6.7,0,0
2013-2014,0,26933,Caos y sistemas dinámicos no lineales,1,3,1,3,7,21.2,18,54.5,3,9.1,3,9.1,0,0
2013-2014,0,26936,Gestión empresarial y proyectos,0,0,0,0,0,0,4,80,0,0,1,20,0,0
2013-2014,0,26937,Gravitación y cosmología,0,0,0,0,1,4.5,13,59.1,5,22.7,3,13.6,0,0
2013-2014,0,26938,Historia de la ciencia,1,7.1,0,0,0,0,6,42.9,6,42.9,1,7.1,0,0
2013-2014,0,26940,Láser y aplicaciones,2,13.3,0,0,1,6.7,6,40,4,26.7,2,13.3,0,0
2013-2014,0,26941,Micro y nano sistemas,1,7.7,0,0,2,15.4,6,46.2,4,30.8,0,0,0,0
2013-2014,0,26942,Microondas: propagación y antenas,1,10,0,0,0,0,7,70,1,10,1,10,0,0
2013-2014,0,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,0,0,1,33.3,1,33.3,1,33.3,0,0
2013-2014,0,26945,Dispositivos y sistemas fotónicos,0,0,0,0,0,0,3,100,0,0,0,0,0,0
2013-2014,0,26946,Dosimetría y radioprotección,0,0,0,0,0,0,4,80,1,20,0,0,0,0
2013-2014,0,26947,Espectroscopia,0,0,0,0,0,0,2,50,2,50,0,0,0,0
2013-2014,0,26949,Física biológica,0,0,0,0,0,0,3,17.6,12,70.6,2,11.8,0,0
2013-2014,0,26950,Física de altas energías,1,9.1,0,0,2,18.2,4,36.4,2,18.2,2,18.2,0,0
2013-2014,0,26951,Física y tecnología nuclear,1,7.7,0,0,3,23.1,8,61.5,1,7.7,0,0,0,0
2013-2014,0,26952,Geofísica,1,9.1,0,0,5,45.5,3,27.3,2,18.2,0,0,0,0
2013-2014,0,26953,Mecánica cuántica,1,5.3,0,0,7,36.8,6,31.6,3,15.8,2,10.5,0,0
2013-2014,0,26957,Sistemas digitales,0,0,0,0,1,16.7,2,33.3,1,16.7,2,33.3,0,0
2013-2014,1,26900,Fundamentos de física I,43,35.2,44,36.1,32,26.2,2,1.6,1,0.8,0,0,0,0
2013-2014,1,26901,Química,13,15.3,21,24.7,35,41.2,14,16.5,1,1.2,1,1.2,0,0
2013-2014,1,26902,Álgebra I,26,29.2,33,37.1,18,20.2,12,13.5,0,0,0,0,0,0
2013-2014,1,26903,Análisis matemático,19,18.3,34,32.7,32,30.8,15,14.4,2,1.9,2,1.9,0,0
2013-2014,1,26904,Informática,18,19.1,20,21.3,22,23.4,23,24.5,6,6.4,5,5.3,0,0
2013-2014,1,26905,Fundamentos de física II,45,42.5,23,21.7,28,26.4,8,7.5,1,0.9,1,0.9,0,0
2013-2014,1,26906,Laboratorio de física,12,14.8,0,0,17,21,36,44.4,13,16,3,3.7,0,0
2013-2014,1,26907,Álgebra II,44,44,12,12,28,28,11,11,2,2,3,3,0,0
2013-2014,1,26908,Cálculo diferencial,34,34.7,15,15.3,28,28.6,14,14.3,4,4.1,3,3.1,0,0
2013-2014,1,26909,Biología,11,20,7,12.7,12,21.8,23,41.8,2,3.6,0,0,0,0
2013-2014,1,26910,Geología,9,27.3,3,9.1,10,30.3,9,27.3,1,3,1,3,0,0
2013-2014,2,26911,Técnicas físicas I,6,9.7,8,12.9,31,50,15,24.2,0,0,2,3.2,0,0
2013-2014,2,26912,Mecánica clásica I,16,23.9,11,16.4,25,37.3,9,13.4,3,4.5,3,4.5,0,0
2013-2014,2,26913,Cálculo integral y geometría,7,11.9,2,3.4,11,18.6,15,25.4,23,39,1,1.7,0,0
2013-2014,2,26914,Ecuaciones diferenciales,7,12.7,11,20,23,41.8,9,16.4,3,5.5,2,3.6,0,0
2013-2014,2,26915,Electromagnetismo,17,26.2,3,4.6,27,41.5,15,23.1,2,3.1,1,1.5,0,0
2013-2014,2,26916,Mecánica clásica II,16,23.2,14,20.3,33,47.8,5,7.2,0,0,1,1.4,0,0
2013-2014,2,26917,Métodos matemáticos para la física,9,17.3,2,3.8,25,48.1,12,23.1,3,5.8,1,1.9,0,0
2013-2014,2,26918,Física computacional,22,36.1,5,8.2,6,9.8,19,31.1,5,8.2,4,6.6,0,0
2013-2014,2,26919,Ondas electromagnéticas,13,22.8,2,3.5,23,40.4,18,31.6,0,0,1,1.8,0,0
2013-2014,3,26920,Técnicas físicas II,0,0,0,0,2,6.2,17,53.1,11,34.4,2,6.2,0,0
2013-2014,3,26921,Física cuántica I,12,24,3,6,15,30,13,26,5,10,2,4,0,0
