Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2020-2021,3,26920,Técnicas físicas II,0,0,0,0,14,24.1,40,69,2,3.4,2,3.4,0,0
2020-2021,3,26921,Física cuántica I,4,5.6,1,1.4,31,43.1,31,43.1,2,2.8,3,4.2,0,0
2020-2021,3,26922,Termodinámica,16,20.5,3,3.8,34,43.6,23,29.5,1,1.3,1,1.3,0,0
2020-2021,3,26923,Óptica,7,10.1,3,4.3,41,59.4,18,26.1,0,0,0,0,0,0
2020-2021,3,26924,Física cuántica II,9,12.7,8,11.3,28,39.4,18,25.4,5,7,3,4.2,0,0
2020-2021,3,26925,Física estadística,9,11.2,25,31.2,36,45,10,12.5,0,0,0,0,0,0
2020-2021,3,26932,Astronomía y astrofísica,2,7.1,0,0,17,60.7,6,21.4,3,10.7,0,0,0,0
2020-2021,3,26933,Caos y sistemas dinámicos no lineales,2,3.7,0,0,9,16.7,34,63,8,14.8,1,1.9,0,0
2020-2021,3,26935,Física de fluidos,0,0,0,0,6,22.2,19,70.4,1,3.7,1,3.7,0,0
2020-2021,3,26937,Gravitación y cosmología,5,16.7,0,0,6,20,10,33.3,7,23.3,2,6.7,0,0
2020-2021,3,26938,Historia de la ciencia,0,0,0,0,4,20,9,45,5,25,2,10,0,0
2020-2021,3,26940,Láser y aplicaciones,0,0,0,0,8,36.4,12,54.5,1,4.5,1,4.5,0,0
2020-2021,3,26941,Micro y nano sistemas,0,0,0,0,1,4.3,16,69.6,4,17.4,2,8.7,0,0
2020-2021,3,26942,Microondas: propagación y antenas,0,0,0,0,0,0,4,80,0,0,1,20,0,0
2020-2021,3,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,0,0,4,57.1,2,28.6,1,14.3,0,0
2020-2021,3,26945,Dispositivos y sistemas fotónicos,0,0,0,0,0,0,1,9.1,8,72.7,2,18.2,0,0
2020-2021,3,26946,Dosimetría y radioprotección,0,0,0,0,3,12,15,60,6,24,1,4,0,0
2020-2021,3,26947,Espectroscopia,0,0,0,0,3,33.3,5,55.6,0,0,1,11.1,0,0
2020-2021,3,26949,Física biológica,1,2.7,0,0,5,13.5,25,67.6,5,13.5,1,2.7,0,0
2020-2021,3,26950,Física de altas energías,0,0,0,0,13,38.2,16,47.1,2,5.9,3,8.8,0,0
2020-2021,3,26951,Física y tecnología nuclear,1,2,0,0,8,16.3,31,63.3,7,14.3,2,4.1,0,0
2020-2021,3,26952,Geofísica,1,4,0,0,4,16,12,48,6,24,2,8,0,0
2020-2021,3,26953,Mecánica cuántica,1,4.8,0,0,6,28.6,7,33.3,4,19,3,14.3,0,0
2020-2021,3,26957,Sistemas digitales,0,0,0,0,2,7.4,4,14.8,18,66.7,3,11.1,0,0
2020-2021,4,26926,Estado sólido I,4,5.1,0,0,25,32.1,32,41,11,14.1,6,7.7,0,0
2020-2021,4,26927,Técnicas físicas III,0,0,1,1.4,6,8.3,46,63.9,15,20.8,4,5.6,0,0
2020-2021,4,26928,Electrónica física,1,1.3,2,2.6,28,36.4,31,40.3,8,10.4,7,9.1,0,0
2020-2021,4,26929,Física nuclear y partículas,3,4,2,2.7,36,48,24,32,7,9.3,3,4,0,0
2020-2021,4,26930,Estado sólido II,3,3.8,2,2.6,24,30.8,35,44.9,10,12.8,4,5.1,0,0
2020-2021,4,26931,Trabajo fin de Grado,8,9.4,0,0,3,3.5,39,45.9,18,21.2,17,20,0,0
