Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2020-2021,0,81326,"Globalización. Reflexiones desde la Filosofía, la Economía y el Derecho",0,0,0,0,0,0,0,0,1,100,0,0,0,0
2020-2021,0,81361,Iniciación a la Investigación en Física de Astropartículas y de Altas Energías,0,0,1,33.3,0,0,2,66.7,0,0,0,0,0,0
2020-2021,1,26900,Fundamentos de física I,19,15,31,24.4,58,45.7,13,10.2,5,3.9,1,0.8,0,0
2020-2021,1,26901,Química,5,6,1,1.2,16,19.3,52,62.7,8,9.6,1,1.2,0,0
2020-2021,1,26902,Álgebra I,10,8.1,22,17.9,60,48.8,28,22.8,2,1.6,1,0.8,0,0
2020-2021,1,26903,Análisis matemático,8,8.5,9,9.6,33,35.1,30,31.9,9,9.6,5,5.3,0,0
2020-2021,1,26904,Informática,12,12.1,15,15.2,20,20.2,42,42.4,7,7.1,3,3,0,0
2020-2021,1,26905,Fundamentos de física II,19,17,16,14.3,44,39.3,30,26.8,0,0,3,2.7,0,0
2020-2021,1,26906,Laboratorio de física,6,7.1,1,1.2,10,11.8,51,60,13,15.3,4,4.7,0,0
2020-2021,1,26907,Álgebra II,27,25.2,6,5.6,36,33.6,36,33.6,2,1.9,0,0,0,0
2020-2021,1,26908,Cálculo diferencial,15,16.5,11,12.1,36,39.6,23,25.3,3,3.3,3,3.3,0,0
2020-2021,1,26909,Biología,7,28,0,0,6,24,10,40,0,0,2,8,0,0
2020-2021,1,26910,Geología,1,14.3,0,0,2,28.6,4,57.1,0,0,0,0,0,0
2020-2021,1,26958,Grafos y combinatoria,4,7.1,4,7.1,21,37.5,18,32.1,7,12.5,2,3.6,0,0
2020-2021,2,26911,Técnicas físicas I,2,2,33,32.4,40,39.2,21,20.6,2,2,4,3.9,0,0
2020-2021,2,26912,Mecánica clásica I,13,14.1,10,10.9,46,50,21,22.8,0,0,2,2.2,0,0
2020-2021,2,26913,Cálculo integral y geometría,17,17.5,5,5.2,39,40.2,26,26.8,6,6.2,4,4.1,0,0
2020-2021,2,26914,Ecuaciones diferenciales,9,9.6,9,9.6,22,23.4,35,37.2,15,16,4,4.3,0,0
2020-2021,2,26915,Electromagnetismo,15,15.2,11,11.1,35,35.4,33,33.3,2,2,3,3,0,0
2020-2021,2,26916,Mecánica clásica II,14,14.3,6,6.1,30,30.6,38,38.8,6,6.1,4,4.1,0,0
2020-2021,2,26917,Métodos matemáticos para la física,10,11,10,11,26,28.6,28,30.8,12,13.2,5,5.5,0,0
2020-2021,2,26918,Física computacional,16,13.2,30,24.8,36,29.8,26,21.5,7,5.8,6,5,0,0
2020-2021,2,26919,Ondas electromagnéticas,24,25.5,3,3.2,36,38.3,24,25.5,5,5.3,2,2.1,0,0
