Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2014-2015,0,26932,Astronomía y astrofísica,1,5.6,1,5.6,6,33.3,5,27.8,3,16.7,2,11.1,0,0
2014-2015,0,26933,Caos y sistemas dinámicos no lineales,1,3.4,0,0,9,31,14,48.3,4,13.8,1,3.4,0,0
2014-2015,0,26934,Física de la atmósfera,3,12,0,0,11,44,5,20,4,16,2,8,0,0
2014-2015,0,26935,Física de fluidos,1,3.7,1,3.7,11,40.7,11,40.7,2,7.4,1,3.7,0,0
2014-2015,0,26937,Gravitación y cosmología,1,2.9,0,0,0,0,20,58.8,10,29.4,3,8.8,0,0
2014-2015,0,26938,Historia de la ciencia,0,0,0,0,0,0,6,85.7,0,0,1,14.3,0,0
2014-2015,0,26940,Láser y aplicaciones,1,8.3,0,0,5,41.7,4,33.3,1,8.3,1,8.3,0,0
2014-2015,0,26941,Micro y nano sistemas,0,0,0,0,2,40,1,20,1,20,1,20,0,0
2014-2015,0,26942,Microondas: propagación y antenas,0,0,0,0,4,57.1,1,14.3,1,14.3,1,14.3,0,0
2014-2015,0,26944,Aplicaciones de la difracción y de la interferometría,0,0,0,0,1,50,0,0,1,50,0,0,0,0
2014-2015,0,26945,Dispositivos y sistemas fotónicos,0,0,0,0,2,18.2,6,54.5,1,9.1,2,18.2,0,0
2014-2015,0,26946,Dosimetría y radioprotección,0,0,0,0,4,30.8,6,46.2,1,7.7,2,15.4,0,0
2014-2015,0,26947,Espectroscopia,1,20,0,0,0,0,0,0,3,60,1,20,0,0
2014-2015,0,26949,Física biológica,2,11.1,0,0,0,0,12,66.7,2,11.1,2,11.1,0,0
2014-2015,0,26950,Física de altas energías,0,0,0,0,6,37.5,5,31.2,2,12.5,3,18.8,0,0
2014-2015,0,26951,Física y tecnología nuclear,0,0,0,0,3,15,11,55,3,15,3,15,0,0
2014-2015,0,26953,Mecánica cuántica,2,10,0,0,3,15,6,30,6,30,3,15,0,0
2014-2015,0,26957,Sistemas digitales,0,0,1,14.3,4,57.1,0,0,0,0,2,28.6,0,0
2014-2015,1,26900,Fundamentos de física I,63,47.4,34,25.6,33,24.8,3,2.3,0,0,0,0,0,0
2014-2015,1,26901,Química,2,2.2,24,26.4,28,30.8,33,36.3,2,2.2,2,2.2,0,0
2014-2015,1,26902,Álgebra I,10,8.6,54,46.6,42,36.2,8,6.9,2,1.7,0,0,0,0
2014-2015,1,26903,Análisis matemático,8,7.4,34,31.5,45,41.7,17,15.7,4,3.7,0,0,0,0
2014-2015,1,26904,Informática,9,9.4,27,28.1,22,22.9,27,28.1,7,7.3,4,4.2,0,0
2014-2015,1,26905,Fundamentos de física II,36,31,34,29.3,33,28.4,11,9.5,0,0,2,1.7,0,0
2014-2015,1,26906,Laboratorio de física,4,4.9,1,1.2,18,22.2,38,46.9,16,19.8,4,4.9,0,0
2014-2015,1,26907,Álgebra II,25,24,26,25,37,35.6,13,12.5,2,1.9,1,1,0,0
2014-2015,1,26908,Cálculo diferencial,26,26,37,37,24,24,9,9,0,0,4,4,0,0
2014-2015,1,26909,Biología,11,17.2,2,3.1,15,23.4,28,43.8,5,7.8,3,4.7,0,0
2014-2015,1,26910,Geología,1,4.2,1,4.2,18,75,4,16.7,0,0,0,0,0,0
2014-2015,2,26911,Técnicas físicas I,10,17.9,14,25,13,23.2,15,26.8,3,5.4,1,1.8,0,0
2014-2015,2,26912,Mecánica clásica I,10,17.5,6,10.5,25,43.9,13,22.8,1,1.8,2,3.5,0,0
2014-2015,2,26913,Cálculo integral y geometría,11,22,8,16,19,38,11,22,1,2,0,0,0,0
2014-2015,2,26914,Ecuaciones diferenciales,9,16.7,1,1.9,27,50,16,29.6,1,1.9,0,0,0,0
2014-2015,2,26915,Electromagnetismo,9,16.7,8,14.8,20,37,14,25.9,2,3.7,1,1.9,0,0
2014-2015,2,26916,Mecánica clásica II,10,16.4,12,19.7,25,41,12,19.7,1,1.6,1,1.6,0,0
2014-2015,2,26917,Métodos matemáticos para la física,7,13.2,12,22.6,10,18.9,19,35.8,3,5.7,2,3.8,0,0
