Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2014-2015,2,26918,Física computacional,17,26.6,4,6.2,13,20.3,25,39.1,0,0,5,7.8,0,0
2014-2015,2,26919,Ondas electromagnéticas,10,21.7,4,8.7,19,41.3,10,21.7,1,2.2,2,4.3,0,0
2014-2015,3,26920,Técnicas físicas II,0,0,0,0,5,10.6,34,72.3,4,8.5,4,8.5,0,0
2014-2015,3,26921,Física cuántica I,3,6.7,7,15.6,16,35.6,15,33.3,1,2.2,3,6.7,0,0
2014-2015,3,26922,Termodinámica,4,9.1,4,9.1,25,56.8,6,13.6,2,4.5,3,6.8,0,0
2014-2015,3,26923,Óptica,9,16.7,3,5.6,29,53.7,11,20.4,1,1.9,1,1.9,0,0
2014-2015,3,26924,Física cuántica II,11,19.6,9,16.1,21,37.5,6,10.7,6,10.7,3,5.4,0,0
2014-2015,3,26925,Física estadística,6,12,7,14,20,40,7,14,9,18,1,2,0,0
2014-2015,4,26926,Estado sólido I,6,15,1,2.5,9,22.5,10,25,10,25,4,10,0,0
2014-2015,4,26927,Técnicas físicas III,2,5.3,0,0,2,5.3,18,47.4,8,21.1,8,21.1,0,0
2014-2015,4,26928,Electrónica física,8,18.6,1,2.3,13,30.2,10,23.3,6,14,5,11.6,0,0
2014-2015,4,26929,Física nuclear y partículas,5,10.9,2,4.3,17,37,11,23.9,6,13,5,10.9,0,0
2014-2015,4,26930,Estado sólido II,4,10.5,0,0,12,31.6,9,23.7,8,21.1,5,13.2,0,0
2014-2015,4,26931,Trabajo fin de Grado,4,11.8,0,0,0,0,7,20.6,18,52.9,5,14.7,0,0
