Curso Académico,Curso,Código,Asignatura,No pre,No pre %,Sus,Sus %,Apr,Apr %,Not,Not %,Sob,Sob %,MH,MH %,Otr,Otr %
2015-2016,0,26932,Astronomía y astrofísica,0,0,0,0,8,34.8,9,39.1,4,17.4,2,8.7,0,0
2015-2016,0,26933,Caos y sistemas dinámicos no lineales,0,0,0,0,0,0,18,90,1,5,1,5,0,0
2015-2016,0,26934,Física de la atmósfera,1,5.9,0,0,8,47.1,7,41.2,0,0,1,5.9,0,0
2015-2016,0,26935,Física de fluidos,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,0,26936,Gestión empresarial y proyectos,0,0,0,0,4,28.6,8,57.1,2,14.3,0,0,0,0
2015-2016,0,26937,Gravitación y cosmología,0,0,0,0,0,0,13,48.1,11,40.7,3,11.1,0,0
2015-2016,0,26938,Historia de la ciencia,0,0,0,0,1,4.2,15,62.5,6,25,2,8.3,0,0
2015-2016,0,26940,Láser y aplicaciones,0,0,0,0,2,25,5,62.5,1,12.5,0,0,0,0
2015-2016,0,26941,Micro y nano sistemas,0,0,0,0,0,0,2,14.3,12,85.7,0,0,0,0
2015-2016,0,26942,Microondas: propagación y antenas,1,14.3,0,0,0,0,3,42.9,2,28.6,1,14.3,0,0
2015-2016,0,26944,Aplicaciones de la difracción y de la interferometría,1,100,0,0,0,0,0,0,0,0,0,0,0,0
2015-2016,0,26945,Dispositivos y sistemas fotónicos,0,0,0,0,0,0,5,83.3,0,0,1,16.7,0,0
2015-2016,0,26946,Dosimetría y radioprotección,0,0,0,0,6,46.2,5,38.5,1,7.7,1,7.7,0,0
2015-2016,0,26947,Espectroscopia,0,0,0,0,5,45.5,4,36.4,1,9.1,1,9.1,0,0
2015-2016,0,26949,Física biológica,0,0,0,0,1,10,5,50,3,30,1,10,0,0
2015-2016,0,26950,Física de altas energías,0,0,0,0,8,57.1,1,7.1,2,14.3,3,21.4,0,0
2015-2016,0,26951,Física y tecnología nuclear,1,3.4,0,0,7,24.1,14,48.3,6,20.7,1,3.4,0,0
2015-2016,0,26953,Mecánica cuántica,1,5,0,0,3,15,9,45,5,25,2,10,0,0
2015-2016,0,26957,Sistemas digitales,0,0,0,0,2,28.6,4,57.1,0,0,1,14.3,0,0
2015-2016,1,26900,Fundamentos de física I,14,9.6,53,36.3,62,42.5,14,9.6,0,0,3,2.1,0,0
2015-2016,1,26901,Química,3,3.1,15,15.5,47,48.5,24,24.7,5,5.2,3,3.1,0,0
2015-2016,1,26902,Álgebra I,24,19.8,56,46.3,26,21.5,9,7.4,3,2.5,3,2.5,0,0
2015-2016,1,26903,Análisis matemático,3,2.9,22,21.6,43,42.2,24,23.5,5,4.9,5,4.9,0,0
2015-2016,1,26904,Informática,12,11.4,17,16.2,17,16.2,37,35.2,16,15.2,6,5.7,0,0
2015-2016,1,26905,Fundamentos de física II,28,22.6,32,25.8,42,33.9,13,10.5,5,4,4,3.2,0,0
2015-2016,1,26906,Laboratorio de física,1,1.2,0,0,13,15.9,45,54.9,19,23.2,4,4.9,0,0
2015-2016,1,26907,Álgebra II,33,29.5,14,12.5,41,36.6,15,13.4,3,2.7,6,5.4,0,0
2015-2016,1,26908,Cálculo diferencial,21,16.9,29,23.4,49,39.5,19,15.3,0,0,6,4.8,0,0
2015-2016,1,26909,Biología,8,12.1,0,0,33,50,19,28.8,3,4.5,3,4.5,0,0
2015-2016,1,26910,Geología,3,14.3,1,4.8,11,52.4,5,23.8,0,0,1,4.8,0,0
2015-2016,2,26911,Técnicas físicas I,1,1.5,18,26.9,11,16.4,33,49.3,2,3,2,3,0,0
2015-2016,2,26912,Mecánica clásica I,12,24,7,14,22,44,7,14,0,0,2,4,0,0
2015-2016,2,26913,Cálculo integral y geometría,17,27.4,4,6.5,19,30.6,12,19.4,8,12.9,2,3.2,0,0
2015-2016,2,26914,Ecuaciones diferenciales,5,7.6,4,6.1,33,50,17,25.8,7,10.6,0,0,0,0
2015-2016,2,26915,Electromagnetismo,13,21,18,29,22,35.5,5,8.1,2,3.2,2,3.2,0,0
2015-2016,2,26916,Mecánica clásica II,12,21.8,8,14.5,18,32.7,12,21.8,3,5.5,2,3.6,0,0
2015-2016,2,26917,Métodos matemáticos para la física,6,10,10,16.7,12,20,24,40,5,8.3,3,5,0,0
2015-2016,2,26918,Física computacional,18,25.7,13,18.6,17,24.3,18,25.7,0,0,4,5.7,0,0
2015-2016,2,26919,Ondas electromagnéticas,12,21.1,7,12.3,19,33.3,17,29.8,0,0,2,3.5,0,0
2015-2016,3,26920,Técnicas físicas II,0,0,0,0,2,6.1,25,75.8,5,15.2,1,3,0,0
2015-2016,3,26921,Física cuántica I,4,8.3,0,0,15,31.2,16,33.3,9,18.8,4,8.3,0,0
2015-2016,3,26922,Termodinámica,5,11.1,2,4.4,23,51.1,10,22.2,2,4.4,3,6.7,0,0
2015-2016,3,26923,Óptica,7,14.6,3,6.2,25,52.1,11,22.9,1,2.1,1,2.1,0,0
2015-2016,3,26924,Física cuántica II,5,8.5,0,0,29,49.2,22,37.3,0,0,3,5.1,0,0
2015-2016,3,26925,Física estadística,7,14.6,8,16.7,23,47.9,7,14.6,2,4.2,1,2.1,0,0
2015-2016,4,26926,Estado sólido I,7,14.6,0,0,14,29.2,16,33.3,8,16.7,3,6.2,0,0
2015-2016,4,26927,Técnicas físicas III,0,0,0,0,3,6.4,33,70.2,9,19.1,2,4.3,0,0
2015-2016,4,26928,Electrónica física,4,7.8,5,9.8,24,47.1,9,17.6,6,11.8,3,5.9,0,0
2015-2016,4,26929,Física nuclear y partículas,2,4.8,5,11.9,22,52.4,5,11.9,5,11.9,3,7.1,0,0
2015-2016,4,26930,Estado sólido II,5,10.6,1,2.1,15,31.9,16,34,8,17,2,4.3,0,0
2015-2016,4,26931,Trabajo fin de Grado,9,19.1,0,0,3,6.4,14,29.8,14,29.8,7,14.9,0,0
