CURSO_ACADEMICO;NOMBRE_PROGRAMA_MOVILIDAD;NOMBRE_AREA_ESTUDIOS_MOV;CENTRO;IN_OUT;NOMBRE_IDIOMA_NIVEL_MOVILIDAD;PAIS_UNIVERSIDAD_ACUERDO;UNIVERSIDAD_ACUERDO;PLAZAS_OFERTADAS_ALUMNOS;PLAZAS_ASIGNADAS_ALUMNOS_OUT;FECHA_ACTUALIZACION
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;IN;ESPAÑOL - B1 (Nivel intermedio);Italia;Università Degli Studi Di Ferrara (Italia);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;IN;ESPAÑOL - B1 (Nivel intermedio);Letonia;Latvijas Universitáte (Letonia);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;IN;ESPAÑOL - B1 (Nivel intermedio);Portugal;Universidade De Aveiro (Portugal);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;IN;ESPAÑOL - B1 (Nivel intermedio);República Checa;Masarykova Univerzita Brno (República Checa);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;IN;INGLÉS - B1 (Nivel intermedio);Estonia;Tallinn University (Estonia);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);Letonia;Latvijas Universitáte (Letonia);2;1;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B1 (Nivel intermedio);República Checa;Masarykova Univerzita Brno (República Checa);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;INGLÉS - B2 (Nivel avanzado);Estonia;Tallinn University (Estonia);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;ITALIANO - B1 (Nivel intermedio);Italia;Università Degli Studi Di Ferrara (Italia);2;0;25/08/2024
2023;ERASMUS;0110-0110-Educación, no definido;Facultad de Ciencias Sociales y Humanas de Teruel;OUT;PORTUGUÉS - B1 (Nivel intermedio);Portugal;Universidade De Aveiro (Portugal);2;2;25/08/2024
