CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2023;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;169;31;54;28;0;0;0;65;10;12;8749.00;369.50;6.08;86.30;76.05;77.86;;;31/08/2025
2023;Facultad de Ciencias de la Salud;1-Enfermería;Grado;646;173;176;135;0;0;0;156;18;8;37554.50;1900.50;4.06;96.85;94.14;98.41;;;31/08/2025
2023;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;208;59;59;43;0;0;0;57;3;11;12297.00;1270.00;4.00;96.75;94.39;97.22;;;31/08/2025
2023;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;137;37;36;33;0;0;0;30;2;5;8014.00;437.00;4.12;98.82;97.05;95.08;;;31/08/2025
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;171;40;55;39;0;0;0;9;18;18;10016.00;104.50;4.27;96.63;93.66;96.80;;;31/08/2025
2023;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;25;0;;18;0;0;0;0;;1;480.00;0.00;5.94;98.39;81.33;81.74;;;31/08/2025
2023;Facultad de Filosofía y Letras;1-Filosofía;Grado;230;54;60;33;0;0;0;35;29;7;12071.50;546.00;4.77;91.35;76.92;90.59;;;31/08/2025
2023;Facultad de Filosofía y Letras;1-Periodismo;Grado;235;57;60;42;0;0;0;40;62;20;13594.50;595.00;4.20;96.50;91.92;97.21;;;31/08/2025
2023;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;50;14;36;9;0;0;0;18;6;2;2376.00;2087.50;4.25;90.48;80.64;94.23;;;31/08/2025
2023;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;236;56;60;48;0;0;0;67;6;5;13639.00;755.00;4.08;96.28;93.31;96.58;;;31/08/2025
