CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2022;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;175;40;54;26;0;0;0;36;11;8;8925.00;289.50;5.52;82.41;73.67;77.87;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud;1-Enfermería;Grado;637;184;176;142;0;0;0;191;20;15;37172.00;1970.50;4.02;97.48;95.47;98.29;0.00;0.00;25/08/2024
2022;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;209;59;59;51;0;0;0;64;5;12;12245.00;906.00;4.02;96.37;94.52;97.63;0.00;0.00;25/08/2024
2022;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;140;36;36;31;0;0;0;49;1;6;8240.00;712.00;4.00;95.87;95.10;99.31;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;179;47;55;31;0;0;0;8;16;19;10207.00;56.00;4.35;97.09;92.46;96.79;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;110;0;;77;0;0;0;5;10;11;5634.00;19.00;4.41;99.05;94.45;94.08;;;25/08/2024
2022;Facultad de Filosofía y Letras;1-Filosofía;Grado;224;57;60;27;0;0;0;41;32;12;12052.00;443.50;4.50;93.24;82.41;91.28;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Periodismo;Grado;241;59;60;56;0;0;0;36;78;34;13443.00;502.50;4.25;96.15;91.66;97.15;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;51;21;36;5;0;0;0;7;13;1;2754.00;242.50;4.60;85.45;71.27;92.53;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;239;59;60;56;0;0;0;67;5;2;13963.50;907.00;4.04;96.75;94.38;98.82;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;274;79;80;61;0;0;0;6;5;3;16470.00;134.50;4.07;95.08;92.00;97.25;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;641;154;180;159;0;0;0;29;42;30;37238.00;590.50;4.29;93.01;85.78;94.38;0.00;0.00;25/08/2024
2022;Escuela de Ingeniería y Arquitectura;1-Ingeniería en Diseño Industrial y Desarrollo de Producto;Grado;357;75;75;68;0;0;0;111;19;29;20032.50;1047.00;4.81;89.05;83.83;88.62;0.00;0.00;25/08/2024
2022;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;249;59;60;42;0;0;0;41;12;17;14271.00;520.00;4.61;81.95;76.19;91.28;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;275;63;62;54;0;0;0;35;7;21;15114.00;859.50;4.45;90.87;86.27;94.65;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Geología;Grado;105;21;47;16;0;0;0;12;7;0;5843.00;93.00;5.33;79.16;66.06;82.87;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Óptica y Optometría;Grado;213;50;60;38;0;0;0;5;2;2;12949.00;212.00;4.37;88.07;79.69;90.10;0.00;0.00;25/08/2024
2022;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1036;240;240;231;1;0;0;72;44;66;58795.00;1998.50;4.35;95.79;92.75;94.66;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;528;119;120;92;0;0;0;47;2;17;30758.50;1652.00;4.47;91.15;85.46;92.22;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;446;117;120;71;0;0;0;34;5;16;25821.00;657.00;4.35;89.94;84.61;92.02;0.00;0.00;25/08/2024
2022;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;504;120;120;128;0;0;0;49;14;21;28691.00;1647.00;4.18;94.18;91.80;97.50;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Infantil;Grado;482;119;120;114;0;0;0;62;;16;26191.50;1722.50;4.27;89.91;83.56;94.61;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Infantil;Grado;383;108;120;85;0;0;0;68;1;17;22498.00;1698.50;4.16;95.07;92.25;93.98;0.00;0.00;25/08/2024
2022;Facultad de Medicina;1-Medicina;Grado;1261;182;180;213;0;0;0;521;86;86;75941.50;7687.50;5.98;97.08;94.36;96.74;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud y del Deporte;1-Medicina;Grado;92;49;45;0;0;0;0;18;;0;5189.00;534.00;;94.41;92.35;;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Estudios Clásicos;Grado;72;22;30;5;0;0;0;12;17;2;3810.50;63.50;5.40;87.79;65.12;84.30;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Estudios Ingleses;Grado;412;96;100;64;0;0;0;18;85;45;22747.00;523.00;4.74;84.36;74.28;89.37;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Filología Hispánica;Grado;275;64;70;46;0;0;0;62;112;11;15053.50;1325.50;4.54;85.71;74.74;92.45;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Historia;Grado;447;127;150;75;0;0;0;95;76;31;24425.50;523.50;5.01;90.00;77.51;92.00;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Historia del Arte;Grado;281;70;114;42;0;0;0;65;38;13;14447.00;1201.50;5.12;79.82;62.11;86.83;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Física;Grado;365;87;85;71;0;0;0;111;11;31;21164.00;1879.00;4.55;87.41;79.28;92.34;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Biotecnología;Grado;277;67;66;50;0;0;0;76;15;23;15996.00;545.50;4.26;92.01;87.25;95.76;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Matemáticas;Grado;325;70;70;69;0;0;0;251;5;29;18468.00;10095.50;4.83;87.40;78.29;89.91;0.00;0.00;25/08/2024
2022;Facultad de Ciencias;1-Química;Grado;606;149;150;111;0;0;0;125;15;39;33555.00;822.00;5.01;78.86;70.39;82.47;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;212;52;56;53;0;0;0;72;3;6;11538.00;832.00;4.60;91.68;86.05;95.77;0.00;0.00;25/08/2024
2022;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;164;36;36;29;0;0;0;51;4;6;9548.00;498.00;5.00;96.20;92.97;98.06;0.00;0.00;25/08/2024
2022;Facultad de Veterinaria;1-Veterinaria;Grado;758;145;146;124;0;0;0;143;25;28;44842.00;931.50;5.33;91.27;87.23;92.27;0.00;0.00;25/08/2024
2022;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1599;385;400;322;3;0;2;455;244;99;91838.00;7705.50;5.29;80.31;68.88;87.78;0.00;0.00;25/08/2024
2022;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;160;46;65;18;3;0;1;46;20;6;8587.00;674.00;4.43;74.97;60.78;84.82;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;115;28;45;21;0;0;0;34;15;4;5730.00;292.00;4.78;77.14;63.74;90.85;0.00;0.00;25/08/2024
2022;Facultad de Derecho;1-Derecho;Grado;1374;306;308;312;0;0;0;506;65;94;77645.50;5359.50;5.17;84.56;78.06;90.52;0.00;0.00;25/08/2024
2022;Facultad de Economía y Empresa;1-Economía;Grado;643;158;200;88;0;0;0;130;49;38;36222.50;724.50;5.30;78.64;62.11;81.85;0.00;0.00;25/08/2024
2022;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;441;132;150;47;0;0;0;79;11;10;24171.50;1303.50;5.17;73.90;58.86;83.62;0.00;0.00;25/08/2024
2022;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;101;16;47;22;0;0;0;21;32;5;5314.00;48.00;4.76;91.59;82.49;93.02;0.00;0.00;25/08/2024
2022;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;99;30;45;11;4;0;2;42;7;5;4484.00;1047.00;4.00;91.74;75.21;84.91;0.00;0.00;25/08/2024
2022;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;582;139;150;82;0;0;0;124;49;49;33095.00;1578.00;4.82;81.33;70.81;89.68;0.00;0.00;25/08/2024
2022;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;690;163;180;104;3;0;4;142;20;27;37752.00;1396.50;5.31;78.74;72.00;83.71;0.00;0.00;25/08/2024
