CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2014;Escuela Politécnica Superior;Ciencias Ambientales;Grado;247;36;65;38;0;0;0;26;9;7;12246.00;578.00;5.22;82.61;73.30;88.10;0.00;0.00;29/04/2018
2014;Facultad de Ciencias de la Salud;Enfermería;Grado;679;162;160;182;13;13;12;55;8;12;39851.00;5129.00;4.09;95.52;92.79;95.40;0.00;0.69;29/04/2018
2014;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;214;55;54;48;0;0;0;14;;2;12691.00;527.00;4.03;97.47;96.20;96.86;0.00;0.00;29/04/2018
2014;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;131;32;33;27;0;0;0;10;;2;7710.00;286.00;4.00;97.81;95.44;98.35;0.00;0.00;29/04/2018
2014;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;171;42;55;17;0;0;0;29;10;22;9626.00;382.50;4.59;92.19;84.89;94.52;0.00;0.00;29/04/2018
2014;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;328;99;85;44;0;0;0;43;7;17;19758.00;335.50;4.21;91.20;86.97;93.22;0.00;0.00;29/04/2018
2014;Facultad de Filosofía y Letras;Filosofía;Grado;180;55;60;24;0;0;0;8;18;6;9768.00;101.00;4.57;90.94;68.41;88.87;0.00;0.00;29/04/2018
2014;Facultad de Filosofía y Letras;Periodismo;Grado;254;58;60;50;0;0;0;16;25;13;14199.00;514.00;4.26;98.41;94.46;97.73;0.00;0.00;29/04/2018
2014;Facultad de Filosofía y Letras;Información y Documentación;Grado;101;28;40;9;0;0;0;11;5;2;4935.00;604.00;5.43;85.77;68.82;80.29;0.00;0.00;29/04/2018
2014;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;4;0;;;0;0;;0;;0;54.00;0.00;;100.00;11.11;;;;29/04/2018
2014;Facultad de Ciencias de la Salud;Fisioterapia;Grado;265;63;60;62;5;5;5;20;5;12;15057.00;1779.50;4.09;95.95;92.27;95.97;0.00;3.45;29/04/2018
2014;Facultad de Ciencias de la Salud;Terapia Ocupacional;Grado;308;76;80;77;17;17;14;23;2;3;17282.00;4029.50;4.25;93.80;89.78;92.64;0.00;0.00;29/04/2018
2014;Facultad de Ciencias Sociales y del Trabajo;Trabajo Social;Grado;695;180;180;152;45;31;34;77;25;37;39714.00;6970.00;4.23;93.77;87.91;95.12;0.00;0.00;29/04/2018
2014;Escuela de Ingeniería y Arquitectura;Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;357;75;75;71;11;8;8;66;40;19;20449.50;2572.50;4.49;91.90;84.37;89.16;0.00;0.00;29/04/2018
2014;Facultad de Veterinaria;Ciencia y Tecnología de los Alimentos;Grado;244;63;60;43;0;0;0;8;15;11;14562.00;138.00;4.35;87.62;82.86;90.40;0.00;0.00;29/04/2018
2014;Facultad de Ciencias de la Salud y del Deporte;Ciencias de la Actividad Física y del Deporte;Grado;271;71;70;42;0;0;0;37;9;18;15507.00;675.00;4.37;92.77;89.13;93.27;0.00;0.00;29/04/2018
2014;Facultad de Ciencias;Geología;Grado;152;29;65;28;0;0;0;4;2;3;8512.50;28.50;4.64;77.92;67.23;86.58;0.00;0.00;29/04/2018
2014;Facultad de Ciencias;Óptica y Optometría;Grado;206;57;60;29;0;0;0;11;1;0;12054.00;899.00;4.56;82.69;77.33;87.17;0.00;0.00;29/04/2018
