CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2024;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;163;30;54;38;0;0;0;47;8;13;7916.50;197.50;5.82;84.04;70.44;79.87;0.00;0.00;19/07/2026
2024;Facultad de Ciencias de la Salud;1-Enfermería;Grado;658;176;176;153;0;0;0;296;18;4;38253.00;2526.00;4.04;97.36;94.95;97.04;0.00;0.00;19/07/2026
2024;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;230;67;59;49;0;0;0;71;2;9;13526.00;1883.00;4.10;96.94;96.19;96.49;0.00;0.00;19/07/2026
2024;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;141;36;36;34;0;0;0;43;1;4;8135.00;701.00;4.00;97.01;95.88;99.22;0.00;0.00;19/07/2026
2024;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;156;36;55;29;0;0;0;15;15;27;9411.00;75.50;4.14;97.27;92.71;97.29;0.00;0.00;19/07/2026
2024;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;9;0;;8;0;0;0;1;;0;96.00;3.00;7.62;100.00;87.50;78.89;;;19/07/2026
2024;Facultad de Filosofía y Letras;1-Filosofía;Grado;216;47;60;35;0;0;0;48;33;10;11539.00;575.00;4.71;89.47;70.66;89.78;0.00;0.00;19/07/2026
2024;Facultad de Filosofía y Letras;1-Periodismo;Grado;241;59;60;56;0;0;0;38;64;26;13404.00;406.00;4.63;98.02;91.87;94.39;0.00;0.00;19/07/2026
2024;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;53;14;36;15;0;0;0;7;12;0;2553.00;798.50;5.43;88.93;77.44;82.25;0.00;0.00;19/07/2026
2024;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;242;62;60;55;0;0;0;79;5;2;14093.00;727.50;4.10;96.56;95.05;96.13;0.00;0.00;19/07/2026
2024;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;258;78;80;61;0;0;0;43;2;4;15481.00;268.50;4.13;95.95;93.81;94.89;0.00;0.00;19/07/2026
2024;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;599;167;180;101;0;0;0;56;32;42;35349.00;1052.00;4.30;89.72;83.83;93.62;0.00;0.00;19/07/2026
2024;Escuela de Ingeniería y Arquitectura;1-Ingeniería en Diseño Industrial y Desarrollo de Producto;Grado;377;82;82;80;0;0;0;114;29;37;21854.00;891.00;4.63;90.45;86.11;88.77;0.00;0.00;19/07/2026
2024;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;249;54;60;49;0;0;0;164;3;17;14313.00;6323.00;4.83;84.69;80.06;88.65;0.00;0.00;19/07/2026
2024;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;270;61;62;62;0;0;0;56;15;18;15297.00;1454.50;4.86;92.19;88.60;93.48;0.00;0.00;19/07/2026
2024;Facultad de Ciencias;1-Geología;Grado;121;40;47;14;0;0;0;13;6;0;6811.50;61.50;4.93;80.83;71.36;85.92;0.00;0.00;19/07/2026
2024;Facultad de Ciencias;1-Óptica y Optometría;Grado;205;52;60;40;0;0;0;38;;2;12204.00;226.00;4.53;84.50;75.44;87.92;0.00;0.00;19/07/2026
