CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2017;Grado;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;100.00;88.46;88.46;26;23;23;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;100.00;88.46;88.46;26;23;23;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;100.00;82.76;82.76;29;24;24;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;100.00;88.46;88.46;26;23;23;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;92.31;92.31;26;24;24;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;92.50;77.08;83.33;48;37;40;1.84;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;100.00;85.19;85.19;27;23;23;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;84.00;75.00;89.29;28;21;25;1.10;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;92.00;92.00;100.00;50;46;50;1.09;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;91.67;83.02;90.57;53;44;48;1.14;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;97.83;88.24;90.20;51;45;46;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;48.78;27.40;56.16;81;28;49;1.75;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;97.96;94.12;96.08;51;48;49;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;96.08;96.08;100.00;51;49;51;1.04;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;96.67;96.67;38;37;37;1.03;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;100.00;76.47;76.47;43;35;35;1.03;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;92.00;82.14;89.29;40;34;36;1.06;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;100.00;70.83;70.83;32;24;25;1.04;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;95.24;95.24;100.00;29;28;29;1.17;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;64.44;64.44;45;29;29;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;84.38;79.41;94.12;34;27;32;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;94.44;94.44;100.00;36;34;36;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;94.44;80.95;85.71;21;17;18;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;100.00;100.00;100.00;9;9;9;1.11;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y sociedad contemporánea;Normal;Optativa;100.00;100.00;100.00;7;7;7;1.14;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de dibujo;Normal;Optativa;100.00;100.00;100.00;22;21;22;1.10;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de pintura;Normal;Optativa;100.00;100.00;100.00;20;20;20;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de escultura;Normal;Optativa;100.00;100.00;100.00;13;13;13;1.08;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado I;Normal;Optativa;88.24;88.24;100.00;20;16;18;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de grabado II;Normal;Optativa;60.00;50.00;83.33;9;5;7;1.20;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico I;Normal;Optativa;92.31;80.00;86.67;24;21;22;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de diseño gráfico II;Normal;Optativa;90.00;90.00;100.00;11;10;11;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de fotografía e imagen digital;Normal;Optativa;95.24;90.91;95.45;31;27;29;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de ilustración;Normal;Optativa;95.45;95.45;100.00;28;25;28;1.04;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Instalaciones;Normal;Optativa;91.67;73.33;80.00;22;17;19;1.06;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte, entorno y espacio público;Normal;Optativa;100.00;66.67;66.67;16;11;11;1.09;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte de acción;Normal;Optativa;100.00;100.00;100.00;7;7;7;1.14;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Tratamiento digital de la imagen;Normal;Optativa;100.00;90.91;90.91;27;25;25;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación espacial;Normal;Optativa;;;;2;1;1;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Animación en 2 y 3D;Normal;Optativa;100.00;86.67;86.67;19;16;16;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de sonido;Normal;Optativa;;;;1;1;1;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño web;Normal;Optativa;100.00;100.00;100.00;12;10;11;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Recursos intermedia;Normal;Optativa;100.00;90.91;90.91;13;11;11;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Taller de videoarte;Normal;Optativa;100.00;100.00;100.00;12;12;12;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Guión y realización;Normal;Optativa;;;;1;1;1;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Net Arte;Normal;Optativa;;;;3;3;3;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de la fotografía, cine y otros medios audiovisuales;Normal;Optativa;91.67;91.67;100.00;13;12;13;1.08;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Industria cultural. Legislación, difusión y mercado artístico;Normal;Optativa;;;;1;0;0;;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Diseño y gestión del espacio expositivo;Normal;Optativa;100.00;93.75;93.75;19;18;18;1.06;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Prácticas externas;Prácticas externas;Optativa;100.00;100.00;100.00;8;8;8;1.00;05/01/2020
2017;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología del arte;Normal;Optativa;84.21;80.00;95.00;20;16;19;1.19;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases químicas del medio ambiente;Normal;Formación básica;68.75;57.89;84.21;58;34;49;2.21;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Biología;Normal;Formación básica;49.28;41.98;85.19;82;35;70;2.50;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos de geología para el estudio del medio ambiente;Normal;Formación básica;80.49;76.74;95.35;44;34;42;1.66;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Fundamentos matemáticos para el estudio del medio ambiente;Normal;Formación básica;63.93;40.63;63.54;97;39;62;2.36;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Economía aplicada;Normal;Formación básica;91.43;84.21;92.11;38;32;35;1.29;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Administración y legislación ambiental;Normal;Formación básica;80.95;72.34;89.36;47;34;42;1.69;05/01/2020
2017;Grado;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Bases físicas del medio ambiente;Normal;Formación básica;62.86;41.90;66.67;107;45;71;2.24;05/01/2020
