CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2023;Grado;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;05/10/2025
2023;Grado;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Idioma moderno Portugués B1;Normal;Obligatoria;;;;0;0;0;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo I;Normal;Formación básica;100.00;95.00;95.00;40;38;38;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color I;Normal;Formación básica;100.00;90.24;90.24;41;37;37;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen I;Normal;Formación básica;97.37;92.50;95.00;40;37;38;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas pictóricas, materiales y procedimientos;Normal;Obligatoria;100.00;97.50;97.50;40;39;39;1.05;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas escultóricas, materiales y procedimientos;Normal;Obligatoria;100.00;100.00;100.00;38;38;38;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación I;Normal;Formación básica;92.50;88.10;95.24;42;37;40;1.14;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Análisis de la imagen y de la forma;Normal;Formación básica;97.62;91.11;93.33;45;41;42;1.12;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte;Normal;Formación básica;91.89;85.00;92.50;40;34;37;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Dibujo II;Normal;Obligatoria;85.71;85.71;100.00;42;36;42;1.03;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Color II;Normal;Obligatoria;97.56;93.02;95.35;43;40;41;1.15;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Volumen II;Normal;Obligatoria;95.24;93.02;97.67;43;40;42;1.22;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Sistemas de representación II;Normal;Obligatoria;87.80;81.82;93.18;44;36;41;1.17;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Imagen y lenguaje audiovisual;Normal;Formación básica;91.30;91.30;100.00;46;42;46;1.17;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Teoría e historia del arte del siglo XX;Normal;Formación básica;100.00;95.24;95.24;42;40;40;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Imagen;Normal;Obligatoria;100.00;100.00;100.00;41;39;40;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Metodología de proyectos. Espacio;Normal;Obligatoria;96.97;96.97;100.00;43;42;43;1.05;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Arte y pensamiento. Estética;Normal;Obligatoria;90.00;90.00;100.00;38;35;38;1.17;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Construcción del discurso artístico;Normal;Obligatoria;100.00;100.00;100.00;37;37;37;1.05;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Últimas tendencias artísticas;Normal;Obligatoria;100.00;100.00;100.00;37;37;37;1.08;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Trabajo fin de Grado;Trabajo fin de grado;Trabajo fin de Grado;100.00;90.48;90.48;42;38;38;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Técnicas de reproducción gráfica;Normal;Optativa;88.24;78.95;89.47;19;15;17;1.27;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Infografía;Normal;Optativa;94.44;85.00;90.00;20;17;18;1.00;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Introducción al diseño;Normal;Optativa;100.00;93.10;93.10;29;27;27;1.15;05/10/2025
2023;Grado;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Historia de las ideas estéticas;Normal;Optativa;94.12;94.12;100.00;17;16;17;1.00;05/10/2025
