CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2016;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera;PROYECTO FIN DE CARRERA;Obligatoria;100.00;100.00;100.00;14;14;14;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera (esp. comunicaciones);PROYECTO FIN DE CARRERA;Obligatoria;100.00;100.00;100.00;5;5;5;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;PROYECTO FIN DE CARRERA;PROYECTO FIN DE CARRERA;Obligatoria;100.00;100.00;100.00;1;1;1;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera (esp. telemática);PROYECTO FIN DE CARRERA;Obligatoria;100.00;100.00;100.00;4;4;4;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera;PROYECTO FIN DE CARRERA;Obligatoria;100.00;79.07;79.07;43;34;34;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Sistemas informáticos;PROYECTO FIN DE CARRERA;Troncal;100.00;79.07;79.07;43;34;34;1.00;29/04/2018
2016;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;PRACTICAS EN EMPRESAS;Sin docencia;Libre Elección;100.00;100.00;100.00;1;1;1;1.00;29/04/2018
2016;Licenciatura o equivalente;Licenciado en Economía;Zaragoza;Facultad de Economía y Empresa;MACROECONOMIA IV;Normal;Troncal;;;;0;0;0;4.00;29/04/2018
2016;Licenciatura o equivalente;Licenciado en Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;DIRECCION FINANCIERA II;Normal;Troncal;;;;0;0;0;3.00;29/04/2018
2016;Licenciatura o equivalente;Licenciado en Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;DIRECCION FINANCIERA INTERNACIONAL;Normal;Optativa;;;;0;0;0;2.00;29/04/2018
