CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;ANTENAS Y PROPAGACION;Normal;Troncal;71.43;62.50;87.50;8;5;7;4.60;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;COMUNICACIONES DIGITALES AVANZADAS;Normal;Troncal;;;;0;0;0;4.33;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;TRATAMIENTO DIGITAL DE LA SE/AL;Normal;Troncal;;;;0;0;0;4.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;ARQUITECTURA DE COMPUTADORES;Normal;Troncal;85.71;85.71;100.00;9;8;9;2.25;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;COMUNICACIONES OPTICAS;Normal;Troncal;100.00;80.00;80.00;5;4;4;2.25;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;SISTEMAS ELECTRONICOS;Normal;Troncal;;;;1;0;0;;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;LABORATORIO DE TRATAMIENTO DE LA SE/AL;Normal;Troncal;62.50;62.50;100.00;9;6;9;2.33;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;MICROONDAS;Normal;Troncal;86.67;81.25;93.75;17;14;16;1.71;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;REDES, SISTEMAS Y SERVICIOS DE COMUNICACIONES;Normal;Troncal;76.92;76.92;100.00;13;10;13;2.60;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;INSTRUMENTACION ELECTRONICA;Normal;Troncal;100.00;80.00;80.00;5;4;4;2.25;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;LABORATORIO DE ALTA FRECUENCIA;Normal;Troncal;50.00;50.00;100.00;14;7;14;2.57;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;LABORATORIO DE COMUNICACIONES OPTICAS;Normal;Troncal;100.00;100.00;100.00;1;1;1;1.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;LABORATORIO DE TELEMATICA;Normal;Troncal;50.00;50.00;100.00;2;1;2;3.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;ORGANIZACION DE LA PRODUCCION Y GESTION DE LA CALIDAD;Normal;Obligatoria;85.71;60.00;70.00;12;8;9;1.25;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;RADIOCOMUNICACIONES;Normal;Obligatoria;75.00;75.00;100.00;8;6;8;2.17;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;PROYECTOS;Normal;Troncal;;;;1;0;0;;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera;PROYECTO FIN DE CARRERA;Obligatoria;100.00;67.86;67.86;28;19;19;1.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera (esp. comunicaciones);PROYECTO FIN DE CARRERA;Optativa;100.00;46.67;46.67;15;7;7;1.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;PROYECTO FIN DE CARRERA;PROYECTO FIN DE CARRERA;Obligatoria;100.00;100.00;100.00;1;1;1;1.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Proyecto fin de carrera (esp. telemática);PROYECTO FIN DE CARRERA;Obligatoria;100.00;50.00;50.00;2;1;1;1.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;FUNDAMENTOS DE ARQUITECTURAS PARALELAS;Normal;Troncal;100.00;66.67;66.67;6;4;4;2.50;29/04/2018
2014;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;SISTEMAS DE TRANSPORTE DE DATOS;Normal;Troncal;100.00;80.00;80.00;5;4;4;2.00;29/04/2018
2014;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;INGENIERIA DEL SOFTWARE II;Normal;Troncal;100.00;83.33;83.33;6;5;5;2.60;29/04/2018
2014;Licenciatura o equivalente;Ingeniero en Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;COMPILADORES I;Normal;Troncal;100.00;66.67;66.67;6;4;4;2.00;29/04/2018
