CURSO_ACADEMICO;LOCALIDAD;TIPO_CENTRO;CENTRO;ESTUDIO;TIPO_ESTUDIO;NOMBRE_CCAA_ALUMNO;SEXO;MOVILIDAD_SALIDA;DEDICACION;ALUMNOS_MATRICULADOS;FECHA_ACTUALIZACION
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Catalunya;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Pais Vasco;Hombres;No;Tiempo Completo;3;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;La Rioja;Hombres;No;Tiempo Completo;2;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;No Informado;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Hombres;No;Otra dedicación;5;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Canarias;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Andalucia;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Castilla y Leon;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Baleares;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Hombres;No;Tiempo Parcial;5;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Mujeres;No;Tiempo Parcial;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Hombres;Sí;Otra dedicación;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Hombres;Sí;Tiempo Completo;3;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Catalunya;Hombres;No;Otra dedicación;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Navarra;Mujeres;No;Tiempo Completo;6;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Mujeres;No;Otra dedicación;10;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Mujeres;Sí;Tiempo Completo;3;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Navarra;Hombres;No;Tiempo Completo;5;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;La Rioja;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Hombres;No;Tiempo Completo;111;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Aragón;Mujeres;No;Tiempo Completo;93;29/04/2018
2013;Huesca;Facultad;Escuela Politécnica Superior;Ciencias Ambientales;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Aragón;Hombres;No;Tiempo Parcial;6;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Aragón;Hombres;No;Tiempo Completo;135;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Asturias;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Aragón;Mujeres;Sí;Tiempo Completo;11;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Cantabria;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;4;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Parcial;29;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;No Informado;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Madrid;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Navarra;Mujeres;No;Tiempo Completo;6;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Andalucia;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Castilla-La Mancha;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Navarra;Mujeres;Sí;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Completo;527;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;La Rioja;Mujeres;No;Tiempo Completo;9;29/04/2018
2013;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Enfermería;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Andalucia;Hombres;No;Tiempo Parcial;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Parcial;6;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;3;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Ciudad autónoma de Melilla;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;La Rioja;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Navarra;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Aragón;Hombres;No;Tiempo Parcial;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Comunidad Valenciana;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Aragón;Hombres;No;Tiempo Completo;33;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Aragón;Mujeres;Sí;Tiempo Completo;1;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Huesca;Centro adscrito;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Completo;163;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;La Rioja;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Comunidad Valenciana;Hombres;No;Tiempo Completo;4;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Aragón;Mujeres;Sí;Tiempo Completo;2;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Parcial;5;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Aragón;Hombres;Sí;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Andalucia;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Aragón;Mujeres;No;Tiempo Completo;86;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Aragón;Hombres;No;Tiempo Completo;18;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Canarias;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Navarra;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Andalucia;Mujeres;No;Tiempo Parcial;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Andalucia;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Pais Vasco;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Madrid;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Catalunya;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Centro adscrito;Escuela Universitaria de Enfermería de Teruel;Enfermería;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;7;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Navarra;Hombres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Navarra;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Comunidad Valenciana;Hombres;No;Tiempo Parcial;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Mujeres;No;Tiempo Parcial;3;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Comunidad Valenciana;Hombres;No;Tiempo Completo;4;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Catalunya;Hombres;No;Tiempo Completo;3;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Hombres;No;Tiempo Completo;35;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Mujeres;Sí;Tiempo Completo;6;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;La Rioja;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;La Rioja;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Pais Vasco;Hombres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Asturias;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;9;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Hombres;No;Tiempo Parcial;3;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;No Informado;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Madrid;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Mujeres;No;Tiempo Completo;95;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Aragón;Hombres;Sí;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Castilla y Leon;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Bellas Artes;Grado;Castilla-La Mancha;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Hombres;No;Tiempo Parcial;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Navarra;Mujeres;Sí;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Extremadura;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Mujeres;No;Tiempo Completo;199;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Hombres;Sí;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Hombres;No;Tiempo Completo;41;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;5;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Madrid;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Canarias;Hombres;No;Tiempo Completo;2;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla y Leon;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla-La Mancha;Mujeres;No;Tiempo Parcial;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla-La Mancha;Mujeres;No;Tiempo Completo;6;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;La Rioja;Mujeres;No;Tiempo Completo;8;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Catalunya;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla y Leon;Mujeres;Sí;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Mujeres;No;Tiempo Parcial;6;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Aragón;Mujeres;Sí;Tiempo Completo;14;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;8;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Castilla-La Mancha;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Cantabria;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Navarra;Mujeres;No;Tiempo Completo;5;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Comunidad Valenciana;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Navarra;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Teruel;Facultad;Facultad de Ciencias Sociales y Humanas de Teruel;Psicología;Grado;Extremadura;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Mujeres;Sí;Tiempo Completo;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Hombres;No;Otra dedicación;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Mujeres;No;Tiempo Parcial;6;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Castilla-La Mancha;Hombres;No;Tiempo Completo;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Hombres;Sí;Tiempo Completo;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Extremadura;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Mujeres;No;Otra dedicación;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Hombres;No;Tiempo Parcial;8;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Navarra;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Baleares;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Hombres;No;Tiempo Completo;78;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Canarias;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Navarra;Hombres;No;Tiempo Completo;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Comunidad Valenciana;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Aragón;Mujeres;No;Tiempo Completo;48;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;Castilla-La Mancha;Hombres;Sí;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;La Rioja;Hombres;No;Tiempo Parcial;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Filosofía;Grado;La Rioja;Hombres;No;Tiempo Completo;4;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;La Rioja;Hombres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;La Rioja;Mujeres;No;Tiempo Completo;5;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Castilla y Leon;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Catalunya;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Navarra;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Mujeres;No;Otra dedicación;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Canarias;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Hombres;No;Tiempo Parcial;4;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Hombres;No;Otra dedicación;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Mujeres;No;Tiempo Parcial;3;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Castilla y Leon;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Mujeres;Sí;Tiempo Completo;10;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Hombres;No;Tiempo Completo;72;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Navarra;Hombres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Hombres;Sí;Tiempo Completo;4;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Periodismo;Grado;Aragón;Mujeres;No;Tiempo Completo;145;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Hombres;No;Tiempo Completo;21;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Mujeres;No;Tiempo Completo;55;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Comunidad Valenciana;Mujeres;No;Otra dedicación;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Hombres;No;Otra dedicación;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Pais Vasco;Mujeres;No;Tiempo Completo;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Pais Vasco;Mujeres;No;Tiempo Parcial;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Hombres;No;Tiempo Parcial;2;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Mujeres;No;Otra dedicación;4;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Castilla-La Mancha;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Facultad de Filosofía y Letras;Información y Documentación;Grado;Aragón;Mujeres;No;Tiempo Parcial;5;29/04/2018
2013;Zaragoza;Facultad;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;Aragón;Hombres;Sí;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;Navarra;Mujeres;No;Tiempo Completo;1;29/04/2018
2013;Zaragoza;Facultad;Escuela de Ingeniería y Arquitectura;Arquitectura;Grado;Aragón;Hombres;No;Tiempo Completo;3;29/04/2018
