CURSO_ACADEMICO;LOCALIDAD;TIPO_CENTRO;CENTRO;ESTUDIO;TIPO_ESTUDIO;NOMBRE_CCAA_ALUMNO;SEXO;MOVILIDAD_SALIDA;DEDICACION;ALUMNOS_MATRICULADOS;FECHA_ACTUALIZACION
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Navarra;Hombres;No;Tiempo Completo;3;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Mujeres;No;Tiempo Parcial;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Navarra;Mujeres;No;Tiempo Completo;3;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;La Rioja;Hombres;No;Tiempo Completo;3;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Navarra;Mujeres;Sí;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;La Rioja;Mujeres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Andalucia;Mujeres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Mujeres;Sí;Tiempo Completo;5;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Cantabria;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Catalunya;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;No Informado;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Baleares;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Hombres;No;Tiempo Completo;98;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Castilla y Leon;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Mujeres;No;Tiempo Completo;77;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Hombres;Sí;Tiempo Completo;4;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Pais Vasco;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Madrid;Hombres;No;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;Aragón;Hombres;No;Tiempo Parcial;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;No Informado;Mujeres;Sí;Tiempo Completo;1;13/01/2019
2011;Huesca;Facultad;Escuela Politécnica Superior;Grado: Ciencias Ambientales;Grado;No Informado;Mujeres;No;Tiempo Completo;1;13/01/2019
2011;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Grado: Enfermería;Grado;Canarias;Mujeres;No;Tiempo Completo;1;13/01/2019
2011;Zaragoza;Facultad;Facultad de Ciencias de la Salud;Grado: Enfermería;Grado;La Rioja;Mujeres;No;Tiempo Completo;10;13/01/2019
