CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;12;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;6;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Graduado;Hombres;45;0;0;0;9.42;52.07;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Diplomatura o equivalente;Graduado;Mujeres;38;0;0;0;9.33;50.01;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;9;4;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;3;3;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Hombres;24;0;0;0;4.90;88.95;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Graduado;Mujeres;20;0;0;0;5.00;86.56;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Arquitectura Técnica;Grado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;14;6;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Hombres;26;0;0;0;4.67;88.98;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Graduado;Mujeres;5;0;0;0;4.50;92.27;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería Civil;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;29/04/2018
2014;Almunia de Doña Godina (La);Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;29/04/2018
