CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;Graduado;Hombres;22;0;0;0;10.74;50.94;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Electrónica Industrial;Diplomatura o equivalente;Graduado;Mujeres;1;0;0;0;8.00;61.07;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;29;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;4;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Graduado;Hombres;50;0;0;0;12.96;50.39;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Informática de Sistemas;Diplomatura o equivalente;Graduado;Mujeres;18;0;0;0;15.61;58.70;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;7;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;Abandono Voluntario;Mujeres;0;4;0;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;Graduado;Hombres;28;0;0;0;7.00;55.27;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico en Obras Públicas, Esp. Construcciones Civiles;Diplomatura o equivalente;Graduado;Mujeres;9;0;0;0;7.50;57.67;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;Abandono Voluntario;Hombres;0;5;1;0;;;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;Graduado;Hombres;7;0;0;0;8.60;47.97;29/04/2018
2013;Almunia de Doña Godina (La);Ingeniero Técnico Industrial, Especialidad Mecánica;Diplomatura o equivalente;Graduado;Mujeres;1;0;0;0;13.00;44.93;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;13;9;0;;;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;16;13;0;;;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Graduado;Hombres;15;0;0;0;4.00;92.22;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Graduado;Mujeres;16;0;0;0;4.00;96.12;29/04/2018
2013;Huesca;Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Mujeres;0;2;2;0;;;29/04/2018
