CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2024;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;9;5;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Hombres;2;0;0;0;5.00;93.10;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Mujeres;1;0;0;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;8;4;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Hombres;3;0;0;0;4.00;93.10;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Mujeres;1;0;0;0;4.00;100.00;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Datos en Procesos Industriales;Grado;Abandono Voluntario;Hombres;0;2;0;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Datos en Procesos Industriales;Grado;Graduado;Hombres;12;0;0;0;4.00;98.76;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Datos en Procesos Industriales;Grado;Graduado;Mujeres;8;0;0;0;4.00;96.68;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;13;7;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Hombres;16;0;0;0;6.38;80.07;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Mujeres;11;0;0;0;4.57;94.32;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Hombres;0;18;6;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Mujeres;0;4;1;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Hombres;43;0;0;0;6.12;72.69;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Mujeres;5;0;0;0;5.67;82.06;19/07/2026
2024;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;22;11;0;;;19/07/2026
2024;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;6;1;0;;;19/07/2026
2024;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;12;0;0;0;5.11;77.24;19/07/2026
2024;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;7;0;0;0;5.60;77.38;19/07/2026
2024;Huesca;Grado: Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;19/07/2026
2024;Huesca;Grado: Ciencias Ambientales;Grado;Abandono Voluntario;Hombres;0;5;3;0;;;19/07/2026
2024;Huesca;Grado: Ciencias Ambientales;Grado;Abandono Voluntario;Mujeres;0;3;1;0;;;19/07/2026
2024;Huesca;Grado: Ciencias Ambientales;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Ciencias Ambientales;Grado;Graduado;Hombres;18;0;0;0;5.88;75.90;19/07/2026
2024;Huesca;Grado: Ciencias Ambientales;Grado;Graduado;Mujeres;20;0;0;0;5.75;83.85;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Hombres;0;8;2;0;;;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Mujeres;0;2;0;0;;;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Hombres;49;0;0;0;4.96;92.06;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;13;0;0;0;4.54;98.50;19/07/2026
2024;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Hombres;0;0;0;3;;;19/07/2026
2024;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Enfermería;Grado;Graduado;Hombres;11;0;0;0;4.09;95.58;19/07/2026
2024;Huesca;Grado: Enfermería;Grado;Graduado;Mujeres;38;0;0;0;4.10;96.80;19/07/2026
2024;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;3;0;0;;;19/07/2026
2024;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;3;3;0;;;19/07/2026
2024;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Hombres;9;0;0;0;5.25;85.42;19/07/2026
2024;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Mujeres;13;0;0;0;5.00;82.33;19/07/2026
2024;Huesca;Grado: Gestión y Administración Pública;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;10;3;0;;;19/07/2026
2024;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Mujeres;0;8;2;0;;;19/07/2026
2024;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;24;0;0;0;6.36;70.20;19/07/2026
2024;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;17;0;0;0;5.50;78.95;19/07/2026
2024;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Incumple Régimen de permanencia;Hombres;0;1;0;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Mujeres;0;24;9;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Hombres;6;0;0;0;4.80;92.34;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Infantil;Grado;Graduado;Mujeres;68;0;0;0;4.40;89.96;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Infantil;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Hombres;0;19;7;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Primaria;Grado;Abandono Voluntario;Mujeres;0;11;4;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Primaria;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Hombres;31;0;0;0;4.81;87.39;19/07/2026
2024;Huesca;Grado: Magisterio en Educación Primaria;Grado;Graduado;Mujeres;75;0;0;0;4.29;94.48;19/07/2026
2024;Huesca;Grado: Medicina;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Medicina;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;19/07/2026
2024;Huesca;Grado: Medicina;Grado;Traslado a otra Universidad;Mujeres;0;0;0;4;;;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Hombres;0;7;1;0;;;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Abandono Voluntario;Mujeres;0;4;3;0;;;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;5;5;0;;;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Hombres;21;0;0;0;5.22;92.77;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Graduado;Mujeres;29;0;0;0;4.52;96.74;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;19/07/2026
2024;Huesca;Grado: Nutrición Humana y Dietética;Grado;Traslado a otra Universidad;Mujeres;0;0;0;5;;;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Abandono Voluntario;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Graduado;Hombres;9;0;0;0;5.14;96.09;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Graduado;Mujeres;23;0;0;0;5.05;94.74;19/07/2026
2024;Huesca;Grado: Odontología;Grado;Traslado a otra Universidad;Mujeres;0;0;0;3;;;19/07/2026
2024;Huesca;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;19/07/2026
2024;Huesca;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;19/07/2026
2024;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Máster: Dirección y planificación del turismo;Máster;Abandono Voluntario;Mujeres;0;1;1;0;;;19/07/2026
2024;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Hombres;6;0;0;0;1.67;89.55;19/07/2026
2024;Huesca;Máster: Dirección y planificación del turismo;Máster;Graduado;Mujeres;13;0;0;0;1.38;92.20;19/07/2026
2024;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Abandono Voluntario;Mujeres;0;2;0;0;;;19/07/2026
2024;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Hombres;6;0;0;0;1.33;91.60;19/07/2026
2024;Huesca;Máster: Estudios Avanzados sobre el Lenguaje, la Comunicación y sus Patologías;Máster;Graduado;Mujeres;16;0;0;0;1.33;93.77;19/07/2026
2024;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Abandono Voluntario;Hombres;0;2;2;0;;;19/07/2026
2024;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Hombres;14;0;0;0;1.21;94.61;19/07/2026
2024;Huesca;Máster: Evaluación y Entrenamiento Físico para la Salud;Máster;Graduado;Mujeres;7;0;0;0;1.14;95.89;19/07/2026
2024;Huesca;Máster: Ingeniería Agronómica;Máster;Abandono Voluntario;Hombres;0;3;0;0;;;19/07/2026
2024;Huesca;Máster: Ingeniería Agronómica;Máster;Abandono Voluntario;Mujeres;0;1;0;0;;;19/07/2026
2024;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Hombres;9;0;0;0;2.50;87.63;19/07/2026
2024;Huesca;Máster: Ingeniería Agronómica;Máster;Graduado;Mujeres;2;0;0;0;2.00;100.00;19/07/2026
2024;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Abandono Voluntario;Hombres;0;1;1;0;;;19/07/2026
2024;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Hombres;22;0;0;0;1.05;97.42;19/07/2026
2024;Huesca;Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport;Máster;Graduado;Mujeres;8;0;0;0;1.25;93.02;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;8;4;0;;;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;8;2;0;;;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;9;0;0;0;6.22;78.67;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;6;0;0;0;5.00;87.54;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Hombres;0;0;0;3;;;19/07/2026
2024;Teruel;Grado: Administración y Dirección de Empresas;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;19/07/2026
2024;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Hombres;0;2;1;0;;;19/07/2026
2024;Teruel;Grado: Bellas Artes;Grado;Abandono Voluntario;Mujeres;0;9;3;0;;;19/07/2026
2024;Teruel;Grado: Bellas Artes;Grado;Graduado;Hombres;8;0;0;0;4.00;99.22;19/07/2026
2024;Teruel;Grado: Bellas Artes;Grado;Graduado;Mujeres;21;0;0;0;4.19;96.58;19/07/2026
2024;Teruel;Grado: Bellas Artes;Grado;Traslado a otra Universidad;Mujeres;0;0;0;2;;;19/07/2026
2024;Teruel;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;3;3;0;;;19/07/2026
2024;Teruel;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;19/07/2026
2024;Teruel;Grado: Enfermería;Grado;Graduado;Hombres;7;0;0;0;4.00;98.35;19/07/2026
