CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;10;6;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Hombres;8;0;0;0;6.00;90.53;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Mujeres;4;0;0;0;5.00;91.04;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;6;3;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;5;2;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Hombres;6;0;0;0;7.50;71.03;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Mujeres;4;0;0;0;5.25;83.30;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería de Datos en Procesos Industriales;Grado;Abandono Voluntario;Hombres;0;4;4;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería de Datos en Procesos Industriales;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;31/08/2025
2023;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;20;9;0;;;31/08/2025
